,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
32,60225.380799,g,20.46,0.238,positive,23.8,3.8
41,60212.417373,g,20.688,0.282,positive,19.5,3.2
43,60207.455845,g,20.616,0.207,positive,20.3,2.8
44,60205.477789,g,20.891,0.295,positive,16.3,3.0
47,60203.398368,g,20.57,0.242,positive,,
48,60201.482708,g,20.481,0.204,positive,,
50,60198.483345,g,20.448,0.242,positive,,
59,60184.442477,g,20.346,0.286,positive,,
61,60182.418657,g,20.244,0.319,positive,,
69,59984.171123,g,17.13,0.06,positive,,
72,59982.108866,g,17.104,0.046,positive,,
74,59980.129688,g,17.102,0.037,positive,,
76,59978.126794,g,17.132,0.064,positive,,
78,59970.149699,g,17.009,0.042,positive,,
80,59968.172176,g,16.985,0.039,positive,,
85,59957.126979,g,16.797,0.058,positive,,
87,59953.113449,g,16.808,0.041,positive,,
95,59922.230556,g,16.244,0.036,positive,,
