,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
0,60290.207616,r,20.401,0.201,positive,,
4,60263.358924,r,20.086,0.188,positive,34.1,5.1
6,60261.276053,r,20.123,0.211,positive,32.6,4.1
8,60259.337743,r,20.272,0.233,positive,29.1,4.3
13,60251.377836,r,19.983,0.201,positive,37.8,5.6
21,60239.409201,r,20.058,0.202,positive,34.3,4.0
23,60237.355058,r,19.877,0.157,positive,41.4,4.1
24,60235.424815,r,19.907,0.177,positive,40.3,4.3
26,60233.443623,r,20.0,0.18,positive,35.9,4.4
29,60228.437558,r,19.706,0.175,positive,43.9,4.7
31,60225.443437,r,19.932,0.159,positive,42.6,4.3
36,60216.482025,r,19.564,0.265,positive,54.8,10.4
38,60214.481204,r,19.722,0.168,positive,44.7,4.5
40,60212.440058,r,19.77,0.137,positive,45.5,3.1
42,60207.461458,r,19.699,0.107,positive,47.4,3.5
45,60205.418588,r,19.711,0.125,positive,,
46,60203.481262,r,19.485,0.131,positive,,
49,60201.437419,r,19.56,0.103,positive,,
54,60192.448414,r,19.332,0.161,positive,,
57,60187.456042,r,19.547,0.215,positive,,
58,60184.489676,r,19.39,0.107,positive,,
60,60182.463634,r,19.411,0.096,positive,,
62,60178.483623,r,19.441,0.135,positive,,
64,60173.458194,r,19.293,0.121,positive,,
65,60170.482384,r,19.201,0.105,positive,,
67,59994.172396,r,16.287,0.032,positive,,
68,59991.17081,r,16.207,0.033,positive,,
70,59984.149525,r,16.204,0.03,positive,,
71,59982.170474,r,16.253,0.038,positive,,
73,59980.172118,r,16.202,0.039,positive,,
75,59978.170451,r,16.151,0.057,positive,,
77,59970.192407,r,16.202,0.034,positive,,
79,59968.19066,r,16.194,0.029,positive,,
82,59967.146065,r,16.2,0.032,positive,,
83,59965.169387,r,16.163,0.028,positive,,
84,59957.172917,r,16.176,0.031,positive,,
88,59940.242593,r,16.081,0.029,positive,,
89,59936.231389,r,16.07,0.034,positive,,
90,59934.279097,r,16.064,0.026,positive,,
91,59932.250162,r,16.062,0.027,positive,,
92,59930.174965,r,16.117,0.029,positive,,
93,59923.273276,r,16.22,0.029,positive,,
94,59922.273044,r,16.294,0.032,positive,,
