,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
2,59872.334907,g,19.892,,limit,,
4,59870.355764,g,19.924,,limit,,
5,59867.419502,g,19.305,,limit,,
7,59864.410625,g,18.927,,limit,,
9,59860.462095,g,19.109,,limit,,
11,59858.417847,g,20.08,,limit,,
12,59856.418924,g,20.332,,limit,,
15,59852.39838,g,20.523,,limit,,
16,59851.460347,g,20.271,,limit,,
19,59849.439896,g,20.201,,limit,,
20,59847.480822,g,20.109,,limit,,
23,59844.439722,g,20.066,,limit,,
24,59842.439676,g,19.916,,limit,,
26,59840.480521,g,20.141,,limit,,
27,59840.456389,g,20.012,,limit,,
28,59829.481296,g,20.196,,limit,,
