,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
1,59803.199329,g,18.572,0.108,positive,,
5,59791.232454,g,18.545,0.125,positive,,
8,59789.181192,g,18.345,0.069,positive,,
10,59785.21059,g,18.29,0.072,positive,,
17,59771.277963,g,18.055,0.096,positive,,
18,59768.251516,g,18.089,0.107,positive,,
19,59768.189583,g,18.046,0.072,positive,,
22,59763.18956,g,17.94,0.063,positive,,
26,59753.277685,g,17.819,0.056,positive,,
28,59751.333009,g,17.82,0.056,positive,,
31,59749.273553,g,17.745,0.069,positive,,
33,59747.318518,g,17.712,0.075,positive,,
34,59740.368576,g,17.695,0.057,positive,,
36,59738.228993,g,17.692,0.062,positive,,
37,59736.273403,g,17.596,0.062,positive,,
38,59734.295509,g,17.59,0.05,positive,,
40,59732.27265,g,17.577,0.05,positive,,
41,59730.295046,g,17.5,0.058,positive,,
44,59726.29287,g,17.479,0.045,positive,,
45,59724.335752,g,17.442,0.056,positive,,
46,59722.398854,g,17.453,0.063,positive,,
47,59722.333194,g,17.435,0.05,positive,,
50,59712.289051,g,17.14,0.042,positive,,
51,59710.293368,g,17.11,0.049,positive,,
54,59702.314641,g,16.495,0.039,positive,,
55,59700.33647,g,16.288,0.029,positive,,
58,59695.356933,g,15.852,0.028,positive,,
62,59683.299479,g,15.769,0.023,positive,,
64,59679.294074,g,16.178,0.026,positive,,
66,59674.484387,g,17.091,0.036,positive,,
69,59671.454549,g,17.573,0.04,positive,,
