,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
0,59808.187824,r,17.997,0.095,positive,,
3,59799.190197,r,17.795,0.07,positive,,
4,59794.17816,r,17.706,0.061,positive,,
6,59791.177824,r,17.66,0.06,positive,,
7,59789.211227,r,17.633,0.056,positive,,
9,59787.190694,r,17.581,0.062,positive,,
12,59779.189595,r,17.397,0.048,positive,,
13,59777.188981,r,17.367,0.045,positive,,
15,59773.257604,r,17.287,0.06,positive,,
16,59773.189352,r,17.282,0.048,positive,,
20,59765.189664,r,17.139,0.038,positive,,
21,59763.252153,r,17.109,0.035,positive,,
23,59761.210845,r,17.016,0.041,positive,,
24,59758.25213,r,16.96,0.043,positive,,
25,59756.210776,r,16.949,0.03,positive,,
27,59753.209861,r,16.874,0.042,positive,,
29,59751.273414,r,16.843,0.045,positive,,
30,59749.339722,r,16.802,0.04,positive,,
32,59747.348611,r,16.753,0.047,positive,,
35,59738.269282,r,16.606,0.036,positive,,
39,59732.309005,r,16.492,0.042,positive,,
42,59730.272593,r,16.439,0.034,positive,,
43,59726.395278,r,16.37,0.036,positive,,
48,59719.398368,r,16.206,0.031,positive,,
49,59719.321076,r,16.187,0.028,positive,,
52,59708.335764,r,15.719,0.028,positive,,
53,59702.356794,r,15.377,0.024,positive,,
56,59697.374699,r,15.204,0.032,positive,,
57,59695.401562,r,15.005,0.04,positive,,
59,59693.314873,r,14.964,0.021,positive,,
60,59689.402974,r,14.989,0.017,positive,,
61,59685.255498,r,15.137,0.027,positive,,
63,59679.376123,r,15.747,0.027,positive,,
65,59677.397222,r,16.051,0.035,positive,,
67,59674.440208,r,16.575,0.047,positive,,
68,59671.481065,r,17.359,0.05,positive,,
