,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
14,59932.172708,r,20.242,,limit,,
69,59880.183947,r,19.805,,limit,,
79,59873.17022,r,20.027,,limit,,
85,59869.298623,r,20.184,,limit,,
94,59863.291123,r,19.009,,limit,,
102,59856.312859,r,20.195,,limit,,
106,59854.295127,r,20.697,,limit,,
118,59847.263738,r,20.298,,limit,,
121,59845.294896,r,20.323,,limit,,
124,59843.297222,r,20.41,,limit,,
136,59826.424444,r,20.326,,limit,,
142,59822.47272,r,20.361,,limit,,
145,59819.462106,r,20.25,,limit,,
155,59813.397616,r,20.338,,limit,,
158,59810.434398,r,20.041,,limit,,
176,59793.381157,r,20.228,,limit,,
179,59788.437431,r,20.39,,limit,,
181,59786.401736,r,20.488,,limit,,
182,59786.39985,r,20.269,,limit,,
206,59762.435301,r,19.778,,limit,,
