,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
3,59958.120012,g,17.065,0.055,positive,,
8,59951.130532,g,17.14,0.052,positive,,
11,59935.187569,g,16.905,0.036,positive,,
12,59934.182743,g,16.901,0.038,positive,,
13,59933.190949,g,16.935,0.047,positive,,
15,59930.212211,g,17.043,0.039,positive,,
16,59930.190127,g,17.044,0.047,positive,,
21,59928.135706,g,16.981,0.045,positive,,
22,59928.134757,g,16.964,0.036,positive,,
25,59922.152778,g,16.81,0.042,positive,,
26,59922.152303,g,16.788,0.036,positive,,
29,59910.211701,g,16.662,0.035,positive,,
34,59907.129537,g,16.719,0.034,positive,,
36,59906.189398,g,16.776,0.041,positive,,
37,59905.19066,g,16.778,0.049,positive,,
39,59904.169792,g,16.749,0.028,positive,,
42,59901.213252,g,16.641,0.043,positive,,
46,59899.24463,g,16.605,0.034,positive,,
49,59899.148657,g,16.597,0.029,positive,,
50,59897.150579,g,16.544,0.029,positive,,
51,59897.149155,g,16.51,0.051,positive,,
54,59896.234317,g,16.555,0.031,positive,,
55,59896.215532,g,16.517,0.047,positive,,
56,59894.34125,g,16.596,0.052,positive,,
59,59894.217199,g,16.582,0.044,positive,,
60,59885.253924,g,16.387,0.039,positive,,
63,59883.25044,g,16.394,0.027,positive,,
65,59882.228461,g,16.414,0.039,positive,,
66,59881.351678,g,16.469,0.032,positive,,
68,59880.232986,g,16.435,0.041,positive,,
70,59879.330891,g,16.456,0.035,positive,,
73,59878.21022,g,16.386,0.039,positive,,
75,59876.289583,g,16.352,0.035,positive,,
77,59874.209769,g,16.271,0.03,positive,,
78,59873.259676,g,16.259,0.039,positive,,
81,59872.308542,g,16.222,0.021,positive,,
83,59871.230799,g,16.24,0.028,positive,,
89,59866.266597,g,16.27,0.029,positive,,
91,59864.382824,g,16.241,0.039,positive,,
93,59863.328553,g,16.181,0.033,positive,,
96,59859.398657,g,16.113,0.033,positive,,
98,59858.389896,g,16.123,0.056,positive,,
101,59857.303831,g,16.174,0.029,positive,,
103,59856.282859,g,16.233,0.036,positive,,
105,59855.325671,g,16.222,0.03,positive,,
107,59852.350671,g,16.161,0.034,positive,,
110,59851.273009,g,16.118,0.035,positive,,
111,59850.378102,g,16.111,0.032,positive,,
114,59849.283866,g,16.084,0.034,positive,,
115,59848.357778,g,16.053,0.025,positive,,
120,59846.37125,g,16.106,0.029,positive,,
122,59843.336169,g,16.165,0.027,positive,,
123,59843.316192,g,16.152,0.048,positive,,
126,59841.38831,g,16.133,0.03,positive,,
127,59841.359155,g,16.111,0.04,positive,,
128,59841.343762,g,16.127,0.027,positive,,
129,59841.342824,g,16.145,0.027,positive,,
130,59839.376227,g,16.101,0.031,positive,,
131,59839.357905,g,16.065,0.045,positive,,
132,59839.351516,g,16.106,0.032,positive,,
133,59839.315752,g,16.085,0.04,positive,,
135,59829.397662,g,16.054,0.03,positive,,
137,59826.374572,g,15.952,0.041,positive,,
138,59826.356481,g,15.982,0.031,positive,,
143,59822.399132,g,15.865,0.037,positive,,
144,59822.378507,g,15.868,0.03,positive,,
146,59819.398206,g,15.9,0.031,positive,,
147,59819.379248,g,15.9,0.037,positive,,
148,59817.40728,g,15.89,0.034,positive,,
149,59817.406331,g,15.886,0.039,positive,,
153,59815.41985,g,15.827,0.039,positive,,
156,59813.336111,g,15.775,0.027,positive,,
159,59810.413472,g,15.642,0.043,positive,,
160,59810.377025,g,15.632,0.034,positive,,
162,59807.440718,g,15.708,0.049,positive,,
164,59803.456354,g,15.693,0.032,positive,,
167,59801.418518,g,15.677,0.049,positive,,
168,59801.399109,g,15.655,0.035,positive,,
171,59798.419109,g,15.576,0.041,positive,,
174,59795.419769,g,15.651,0.041,positive,,
175,59793.444815,g,15.704,0.034,positive,,
177,59790.373773,g,15.619,0.035,positive,,
180,59786.460232,g,15.55,0.03,positive,,
185,59783.422859,g,15.467,0.033,positive,,
186,59783.42191,g,15.47,0.029,positive,,
187,59780.460567,g,15.531,0.039,positive,,
188,59780.457234,g,15.488,0.044,positive,,
189,59780.42309,g,15.523,0.023,positive,,
190,59780.421667,g,15.49,0.046,positive,,
197,59771.458877,g,15.304,0.033,positive,,
199,59770.408519,g,15.267,0.027,positive,,
200,59769.421505,g,15.315,0.027,positive,,
201,59766.437384,g,15.304,0.035,positive,,
203,59765.425081,g,15.32,0.023,positive,,
204,59763.459132,g,15.26,0.026,positive,,
