,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
0,59968.155197,r,17.509,0.063,positive,,
1,59967.122535,r,17.399,0.065,positive,,
2,59958.133183,r,17.139,0.04,positive,,
4,59957.163426,r,17.327,0.071,positive,,
5,59956.129896,r,17.308,0.042,positive,,
6,59951.159861,r,17.266,0.053,positive,,
7,59951.159387,r,17.172,0.035,positive,,
9,59937.174595,r,17.049,0.047,positive,,
10,59936.128357,r,17.003,0.054,positive,,
17,59930.107269,r,17.08,0.049,positive,,
18,59930.106331,r,17.044,0.04,positive,,
19,59928.153924,r,17.023,0.033,positive,,
20,59928.149201,r,17.039,0.035,positive,,
23,59922.187789,r,16.877,0.036,positive,,
24,59922.187315,r,16.872,0.041,positive,,
27,59913.168113,r,16.827,0.033,positive,,
28,59911.185451,r,16.845,0.054,positive,,
30,59910.171678,r,16.791,0.036,positive,,
31,59909.174838,r,16.725,0.031,positive,,
32,59908.168009,r,16.723,0.032,positive,,
33,59907.169873,r,16.756,0.04,positive,,
35,59906.232049,r,16.811,0.033,positive,,
38,59904.190174,r,16.783,0.036,positive,,
40,59903.192465,r,16.719,0.034,positive,,
41,59902.190718,r,16.711,0.033,positive,,
43,59901.171088,r,16.7,0.049,positive,,
44,59900.232558,r,16.673,0.04,positive,,
47,59899.174456,r,16.663,0.032,positive,,
48,59899.173518,r,16.621,0.041,positive,,
52,59896.285752,r,16.57,0.031,positive,,
53,59896.270509,r,16.54,0.031,positive,,
57,59894.273657,r,16.651,0.041,positive,,
58,59894.255382,r,16.657,0.036,positive,,
61,59885.232245,r,16.399,0.029,positive,,
62,59883.294329,r,16.373,0.027,positive,,
64,59882.233171,r,16.412,0.032,positive,,
67,59881.273032,r,16.452,0.045,positive,,
71,59879.273206,r,16.409,0.034,positive,,
72,59878.234074,r,16.377,0.022,positive,,
74,59877.337188,r,16.348,0.036,positive,,
76,59874.272558,r,16.322,0.032,positive,,
80,59872.358345,r,16.261,0.028,positive,,
82,59871.290498,r,16.23,0.028,positive,,
84,59870.294803,r,16.249,0.024,positive,,
87,59867.321563,r,16.278,0.025,positive,,
88,59866.340567,r,16.208,0.016,positive,,
90,59865.328322,r,16.22,0.031,positive,,
92,59864.266308,r,16.193,0.021,positive,,
95,59862.294537,r,16.153,0.019,positive,,
97,59859.325718,r,16.103,0.042,positive,,
99,59858.316354,r,16.056,0.035,positive,,
100,59857.392558,r,16.129,0.034,positive,,
104,59855.382523,r,16.148,0.035,positive,,
108,59852.315729,r,16.061,0.03,positive,,
109,59851.295069,r,16.044,0.037,positive,,
112,59850.315417,r,16.051,0.029,positive,,
113,59849.316586,r,15.994,0.036,positive,,
116,59848.336968,r,16.005,0.025,positive,,
119,59846.39956,r,15.975,0.027,positive,,
125,59843.296285,r,16.063,0.036,positive,,
134,59829.419398,r,15.87,0.023,positive,,
140,59824.394213,r,15.688,0.028,positive,,
141,59822.473669,r,15.685,0.021,positive,,
150,59817.380185,r,15.668,0.039,positive,,
151,59817.379236,r,15.668,0.028,positive,,
152,59815.462732,r,15.593,0.025,positive,,
154,59813.419954,r,15.525,0.023,positive,,
157,59810.439664,r,15.428,0.027,positive,,
161,59808.435532,r,15.394,0.032,positive,,
163,59807.366771,r,15.451,0.033,positive,,
165,59803.399699,r,15.42,0.041,positive,,
166,59803.378102,r,15.407,0.024,positive,,
169,59798.441447,r,15.288,0.021,positive,,
170,59798.440972,r,15.295,0.028,positive,,
172,59795.441481,r,15.28,0.044,positive,,
173,59795.440532,r,15.301,0.044,positive,,
183,59783.469653,r,15.07,0.027,positive,,
184,59783.46919,r,15.117,0.031,positive,,
191,59776.446481,r,14.928,0.041,positive,,
192,59776.414931,r,14.909,0.025,positive,,
193,59774.457998,r,14.88,0.029,positive,,
194,59774.426713,r,14.87,0.024,positive,,
195,59774.425764,r,14.854,0.025,positive,,
196,59772.420671,r,14.797,0.027,positive,,
202,59765.453438,r,14.733,0.026,positive,,
205,59763.433831,r,14.658,0.031,positive,,
