,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
48,59713.324271,g,19.496,,limit,,
51,59713.204236,g,19.413,,limit,,
54,59711.22331,g,19.74,,limit,,
55,59711.19897,g,19.588,,limit,,
63,59703.263565,g,20.481,,limit,,
64,59701.346748,g,20.481,,limit,,
65,59701.346273,g,20.345,,limit,,
66,59701.306192,g,20.544,,limit,,
67,59701.290822,g,20.366,,limit,,
69,59699.244942,g,20.829,,limit,,
70,59699.226586,g,20.594,,limit,,
72,59697.264792,g,21.022,,limit,,
74,59696.20162,g,20.811,,limit,,
75,59695.281505,g,19.075,,limit,,
77,59694.342512,g,20.094,,limit,,
80,59693.234456,g,20.562,,limit,,
81,59690.283796,g,20.438,,limit,,
83,59689.283877,g,19.742,,limit,,
86,59688.264074,g,19.758,,limit,,
88,59685.323437,g,19.201,,limit,,
