,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
6,59747.203264,r,20.777,,limit,,
33,59726.19956,r,20.757,,limit,,
36,59724.28037,r,20.646,,limit,,
49,59713.261111,r,19.794,,limit,,
50,59713.24103,r,19.434,,limit,,
52,59711.279861,r,19.439,,limit,,
53,59711.269572,r,19.368,,limit,,
56,59709.262454,r,20.137,,limit,,
57,59709.261979,r,19.881,,limit,,
58,59709.198819,r,20.117,,limit,,
59,59709.175868,r,19.812,,limit,,
60,59707.263889,r,20.187,,limit,,
61,59707.240637,r,20.131,,limit,,
62,59703.290093,r,20.354,,limit,,
68,59699.283623,r,20.628,,limit,,
71,59697.325012,r,20.406,,limit,,
73,59696.263461,r,20.498,,limit,,
76,59695.243032,r,20.564,,limit,,
78,59694.236481,r,20.315,,limit,,
79,59693.280903,r,20.196,,limit,,
82,59690.241516,r,20.42,,limit,,
84,59689.262778,r,19.978,,limit,,
85,59688.322454,r,19.874,,limit,,
87,59687.344421,r,19.697,,limit,,
89,59685.237569,r,19.547,,limit,,
