,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
0,59755.266933,g,18.325,0.085,positive,,
2,59751.197604,g,18.269,0.065,positive,,
3,59749.238229,g,18.225,0.088,positive,,
5,59747.284201,g,18.193,0.077,positive,,
7,59742.32684,g,18.112,0.121,positive,,
8,59742.325903,g,18.053,0.102,positive,,
11,59740.244768,g,18.061,0.08,positive,,
12,59740.237211,g,18.222,0.087,positive,,
16,59738.203194,g,18.128,0.078,positive,,
17,59738.185289,g,18.118,0.077,positive,,
18,59736.259329,g,18.055,0.1,positive,,
19,59736.258391,g,18.156,0.078,positive,,
23,59734.200301,g,18.079,0.077,positive,,
26,59732.18684,g,18.058,0.052,positive,,
28,59731.20478,g,17.95,0.061,positive,,
30,59730.205683,g,17.938,0.069,positive,,
31,59726.24559,g,17.756,0.042,positive,,
32,59726.223495,g,17.753,0.059,positive,,
35,59724.326412,g,17.74,0.054,positive,,
38,59724.219421,g,17.68,0.06,positive,,
39,59722.300556,g,17.71,0.06,positive,,
40,59722.300556,g,17.71,0.06,positive,,
41,59722.260359,g,17.689,0.052,positive,,
45,59715.224317,g,17.67,0.051,positive,,
46,59715.223854,g,17.661,0.053,positive,,
