,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
1,59751.264294,r,17.325,0.039,positive,,
4,59749.207176,r,17.307,0.05,positive,,
9,59742.243032,r,17.338,0.062,positive,,
10,59742.242546,r,17.38,0.06,positive,,
13,59740.197384,r,17.427,0.047,positive,,
14,59738.237199,r,17.383,0.052,positive,,
15,59738.236725,r,17.404,0.048,positive,,
20,59736.202396,r,17.447,0.041,positive,,
21,59736.187153,r,17.423,0.053,positive,,
22,59734.227882,r,17.433,0.052,positive,,
24,59733.218021,r,17.427,0.04,positive,,
25,59732.19794,r,17.473,0.043,positive,,
27,59731.245764,r,17.368,0.053,positive,,
29,59730.226968,r,17.437,0.055,positive,,
34,59726.198623,r,17.441,0.054,positive,,
37,59724.257488,r,17.375,0.048,positive,,
42,59718.262049,r,17.502,0.049,positive,,
43,59718.249456,r,17.492,0.047,positive,,
44,59718.194653,r,17.491,0.054,positive,,
47,59715.204201,r,17.796,0.046,positive,,
