MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
59936.457211,g,20.673,,limit,,
59934.525185,g,20.15,,limit,,
59932.456019,g,20.785,,limit,,
59928.527558,g,19.813,,limit,,
59922.428924,g,19.451,,limit,,
59913.349155,g,20.107,,limit,,
59909.468229,g,20.595,,limit,,
59906.344502,g,20.092,,limit,,
59904.422245,g,20.105,,limit,,
59902.470625,g,19.974,,limit,,
59900.463044,g,19.581,,limit,,
59889.49081,g,19.851,,limit,,
59882.513646,g,19.983,,limit,,
59880.428356,g,19.812,,limit,,
59877.424502,g,20.059,,limit,,
59865.465451,g,19.456,,limit,,
59859.471852,g,19.926,,limit,,
59841.527118,g,18.847,,limit,,
59841.524676,g,19.256,0.24,positive,,
59841.522234,g,19.281,,limit,,
59841.519792,g,19.46,,limit,,
59841.51735,g,19.222,0.153,positive,,
59840.526238,g,18.715,,limit,,
59840.523808,g,18.943,,limit,,
59840.521366,g,19.085,0.202,positive,,
59840.518924,g,19.244,,limit,,
59840.516482,g,19.222,0.264,positive,,
59839.525857,g,18.75,,limit,,
59839.523403,g,19.075,0.226,positive,,
59839.520972,g,19.183,0.238,positive,,
59839.518542,g,19.483,0.232,positive,,
59839.5161,g,19.324,0.222,positive,,
