MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
59951.428692,r,19.163,0.187,positive,,
59936.430116,r,20.828,,limit,,
59934.42603,r,20.319,,limit,,
59932.471632,r,20.468,,limit,,
59928.478692,r,19.169,0.104,positive,,
59922.448831,r,19.026,0.106,positive,,
59913.466852,r,20.372,,limit,,
59909.454224,r,20.579,,limit,,
59906.456354,r,20.48,,limit,,
59904.487396,r,18.976,0.104,positive,,
59902.511273,r,18.919,0.16,positive,,
59900.507083,r,18.898,0.134,positive,,
59896.426169,r,19.034,0.198,positive,,
59889.523704,r,20.522,,limit,,
59887.474375,r,18.936,0.089,positive,,
59882.489074,r,18.675,0.116,positive,,
59880.494514,r,18.729,0.088,positive,,
59873.487651,r,18.779,0.111,positive,,
59869.504884,r,20.139,,limit,,
59865.512755,r,19.963,,limit,,
59862.498472,r,18.787,0.141,positive,,
59859.536771,r,18.583,0.121,positive,,
59854.529792,r,19.64,,limit,,
59854.525405,r,20.098,,limit,,
59854.521018,r,20.257,,limit,,
59854.516632,r,20.315,,limit,,
59854.512257,r,20.275,,limit,,
59853.520544,r,17.986,0.069,positive,,
59853.518056,r,17.918,0.052,positive,,
59853.515567,r,17.998,0.054,positive,,
59853.51309,r,17.941,0.063,positive,,
59853.510602,r,17.946,0.049,positive,,
59852.518472,r,17.902,0.07,positive,,
59852.515926,r,17.854,0.044,positive,,
59852.513391,r,17.816,0.062,positive,,
59852.510845,r,17.858,0.059,positive,,
59852.508299,r,17.903,0.047,positive,,
59851.519502,r,17.809,0.061,positive,,
59851.516968,r,17.759,0.051,positive,,
59851.514421,r,17.756,0.046,positive,,
59851.511875,r,17.815,0.057,positive,,
59851.50934,r,17.802,0.06,positive,,
59850.517801,r,17.755,0.053,positive,,
59850.51522,r,17.704,0.054,positive,,
59850.512685,r,17.693,0.048,positive,,
59850.510139,r,17.774,0.068,positive,,
59850.507581,r,17.728,0.06,positive,,
59849.517153,r,17.716,0.044,positive,,
59849.514699,r,17.646,0.064,positive,,
59849.512257,r,17.638,0.053,positive,,
59849.509815,r,17.663,0.059,positive,,
59849.507373,r,17.679,0.071,positive,,
59848.518322,r,17.628,0.056,positive,,
59848.515868,r,17.608,0.062,positive,,
59848.513403,r,17.57,0.053,positive,,
59848.510937,r,17.654,0.07,positive,,
59848.508484,r,17.642,0.061,positive,,
59843.527836,r,17.447,0.067,positive,,
59843.525417,r,17.482,0.061,positive,,
59843.522998,r,17.48,0.045,positive,,
59843.520579,r,17.47,0.059,positive,,
59843.518171,r,17.472,0.059,positive,,
59842.527349,r,17.5,0.062,positive,,
59842.524988,r,17.451,0.053,positive,,
59842.522616,r,17.459,0.063,positive,,
59842.520243,r,17.515,0.059,positive,,
59842.517882,r,17.476,0.067,positive,,
