,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
3,59889.239028,g,19.544,,limit,,
5,59887.290521,g,19.691,,limit,,
6,59882.405995,g,19.49,,limit,,
8,59880.362361,g,20.227,,limit,,
10,59878.359525,g,20.288,,limit,,
12,59876.435637,g,19.987,,limit,,
15,59873.403715,g,19.659,,limit,,
16,59871.364502,g,20.059,,limit,,
18,59869.395961,g,20.299,,limit,,
19,59866.456401,g,19.937,,limit,,
21,59864.420799,g,19.551,,limit,,
23,59860.492118,g,19.954,,limit,,
25,59858.447546,g,20.92,,limit,,
27,59856.428924,g,20.748,,limit,,
29,59854.431875,g,20.86,,limit,,
