,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
31,59852.403669,g,21.037,0.231,positive,,
32,59850.443912,g,20.295,0.176,positive,,
35,59848.4225,g,19.793,0.117,positive,,
37,59846.383889,g,19.701,0.122,positive,,
39,59843.383646,g,19.349,0.104,positive,,
40,59841.451516,g,19.278,0.097,positive,,
41,59841.380845,g,19.347,0.136,positive,,
42,59839.449988,g,19.17,0.102,positive,,
43,59839.344317,g,19.219,0.116,positive,,
45,59827.432211,g,18.978,0.089,positive,,
47,59824.426609,g,18.929,0.085,positive,,
49,59821.445324,g,18.828,0.093,positive,,
50,59818.469549,g,18.858,0.075,positive,,
53,59816.442407,g,18.86,0.11,positive,,
55,59814.447222,g,18.801,0.077,positive,,
56,59811.471296,g,18.749,0.075,positive,,
58,59808.483218,g,18.803,0.096,positive,,
60,59806.475417,g,18.89,0.115,positive,,
63,59802.432026,g,18.828,0.102,positive,,
