,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
0,59896.318669,r,19.955,0.206,positive,,
4,59887.410729,r,19.819,0.164,positive,,
7,59882.338819,r,19.862,0.2,positive,,
9,59880.224687,r,20.026,0.146,positive,,
11,59878.347037,r,19.971,0.175,positive,,
13,59876.389363,r,19.851,0.168,positive,,
20,59866.385058,r,19.64,0.153,positive,,
24,59860.430949,r,19.537,0.157,positive,,
26,59858.373681,r,19.779,0.161,positive,,
28,59856.408843,r,19.569,0.106,positive,,
33,59850.36287,r,18.126,0.058,positive,,
34,59848.490845,r,17.841,0.047,positive,,
36,59846.452315,r,17.76,0.043,positive,,
38,59843.457477,r,17.629,0.047,positive,,
44,59827.488276,r,17.29,0.042,positive,,
46,59824.488102,r,17.248,0.046,positive,,
48,59821.465405,r,17.254,0.045,positive,,
51,59818.449549,r,17.23,0.043,positive,,
52,59816.472396,r,17.236,0.035,positive,,
54,59814.469688,r,17.211,0.036,positive,,
57,59811.381007,r,17.219,0.042,positive,,
59,59808.430116,r,17.216,0.039,positive,,
61,59806.427095,r,17.195,0.044,positive,,
62,59802.466586,r,16.91,0.035,positive,,
64,59764.471632,r,17.286,0.039,positive,,
65,59764.46912,r,17.285,0.041,positive,,
66,59764.466597,r,17.251,0.037,positive,,
67,59764.464086,r,17.278,0.039,positive,,
68,59764.461562,r,17.288,0.04,positive,,
