,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
1,60109.223623,g,20.187,0.16,positive,,
4,60105.218056,g,20.005,0.136,positive,,
5,60103.239097,g,19.958,0.167,positive,,
12,60092.313287,g,20.085,0.239,positive,,
14,60090.285116,g,19.691,0.187,positive,,
16,60088.285729,g,19.902,0.147,positive,,
18,60086.301343,g,19.817,0.127,positive,,
19,60086.225139,g,20.01,0.106,positive,,
22,60084.181759,g,19.719,0.1,positive,,
25,60080.24081,g,19.923,0.12,positive,,
26,60078.324398,g,19.859,0.123,positive,,
29,60076.290891,g,19.91,0.12,positive,,
30,60067.284931,g,19.463,0.244,positive,,
32,60064.239201,g,19.628,0.178,positive,,
33,60062.432072,g,19.735,0.162,positive,,
37,60058.305613,g,19.672,0.12,positive,,
40,60056.219745,g,19.723,0.126,positive,,
41,60054.342072,g,19.68,0.131,positive,,
44,60052.265463,g,19.731,0.117,positive,,
45,60050.352118,g,19.672,0.136,positive,,
48,60046.262118,g,19.621,0.08,positive,,
50,60044.162789,g,19.803,0.127,positive,,
54,60032.162789,g,19.435,0.118,positive,,
55,60029.38463,g,19.513,0.108,positive,,
58,59996.385775,g,19.309,0.158,positive,,
60,59993.387951,g,19.191,0.209,positive,,
64,59984.407349,g,19.133,0.142,positive,,
66,59980.405023,g,19.08,0.134,positive,,
67,59977.489201,g,19.114,0.142,positive,,
70,59971.370231,g,19.076,0.123,positive,,
72,59968.432419,g,18.971,0.095,positive,,
75,59957.449734,g,19.053,0.091,positive,,
76,59937.450972,g,18.808,0.076,positive,,
79,59935.344144,g,18.697,0.1,positive,,
81,59933.430706,g,18.829,0.089,positive,,
83,59928.53206,g,18.843,0.097,positive,,
85,59922.437755,g,18.698,0.162,positive,,
87,59909.489005,g,18.444,0.067,positive,,
90,59906.430278,g,18.026,0.045,positive,,
92,59904.429491,g,17.804,0.063,positive,,
94,59902.478657,g,17.54,0.068,positive,,
96,59900.494965,g,17.347,0.048,positive,,
98,59898.451412,g,17.189,0.043,positive,,
102,59884.517928,g,16.691,0.03,positive,,
