,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
0,60124.201331,r,19.305,0.149,positive,,
2,60109.200694,r,19.104,0.09,positive,,
3,60105.259306,r,19.047,0.102,positive,,
6,60103.203576,r,19.111,0.091,positive,,
7,60101.341736,r,18.992,0.144,positive,,
8,60099.354375,r,19.069,0.185,positive,,
10,60097.240521,r,18.953,0.115,positive,,
13,60092.284618,r,18.93,0.135,positive,,
15,60090.17838,r,18.862,0.089,positive,,
20,60086.179248,r,18.876,0.133,positive,,
21,60084.215197,r,18.921,0.08,positive,,
27,60078.280741,r,18.796,0.075,positive,,
28,60076.351319,r,18.74,0.076,positive,,
31,60064.286331,r,18.596,0.073,positive,,
35,60062.178461,r,18.652,0.089,positive,,
36,60060.176516,r,18.543,0.071,positive,,
38,60058.258241,r,18.523,0.059,positive,,
39,60056.303738,r,18.609,0.082,positive,,
42,60054.306887,r,18.52,0.069,positive,,
43,60052.27912,r,18.532,0.059,positive,,
46,60050.234583,r,18.48,0.06,positive,,
47,60046.330347,r,18.483,0.058,positive,,
49,60044.219294,r,18.417,0.057,positive,,
53,60032.344676,r,18.338,0.053,positive,,
56,60020.315139,r,18.216,0.047,positive,,
57,60016.337153,r,18.223,0.051,positive,,
59,59996.368322,r,18.088,0.252,positive,,
61,59993.289074,r,17.969,0.086,positive,,
62,59987.371076,r,17.993,0.046,positive,,
63,59984.423958,r,17.959,0.055,positive,,
65,59980.432049,r,17.887,0.05,positive,,
68,59977.306678,r,17.908,0.087,positive,,
69,59971.428299,r,17.813,0.053,positive,,
71,59968.450185,r,17.798,0.05,positive,,
73,59965.431782,r,17.767,0.048,positive,,
74,59957.470382,r,17.693,0.052,positive,,
77,59937.348611,r,17.6,0.059,positive,,
78,59935.427222,r,17.641,0.043,positive,,
80,59933.519815,r,17.656,0.123,positive,,
82,59931.512685,r,17.516,0.064,positive,,
84,59922.450278,r,17.518,0.048,positive,,
86,59913.400914,r,17.351,0.05,positive,,
88,59909.448067,r,17.246,0.045,positive,,
89,59906.452026,r,16.938,0.039,positive,,
91,59904.494526,r,16.752,0.034,positive,,
93,59902.517685,r,16.57,0.041,positive,,
95,59900.513843,r,16.33,0.034,positive,,
97,59898.479213,r,16.293,0.034,positive,,
99,59896.472049,r,16.165,0.027,positive,,
100,59893.490151,r,16.091,0.027,positive,,
101,59888.470544,r,15.985,0.036,positive,,
