,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
1,60356.357269,r,20.376,,limit,18.9,4.4
3,60354.399595,r,20.424,,limit,28.8,3.9
5,60352.412292,r,20.486,,limit,23.5,4.0
10,60250.530116,r,19.647,,limit,,
11,60250.527651,r,19.529,,limit,,
12,60249.536829,r,18.051,,limit,,
13,60249.534375,r,17.784,,limit,,
14,60249.53191,r,18.28,,limit,,
15,60249.529456,r,18.435,,limit,,
16,60249.527002,r,18.204,,limit,,
17,60248.535891,r,18.936,,limit,,
18,60248.533426,r,18.957,,limit,,
19,60248.530984,r,18.969,,limit,,
20,60248.528518,r,18.913,,limit,,
22,60247.535336,r,19.067,,limit,41.9,11.0
23,60247.532893,r,18.993,,limit,,
24,60247.526331,r,18.851,,limit,,
25,60247.523877,r,18.815,,limit,,
26,60246.532789,r,18.861,,limit,43.6,13.2
27,60246.530336,r,18.945,,limit,,
28,60246.527893,r,18.973,,limit,,
29,60246.525451,r,18.805,,limit,,
30,60246.523009,r,18.903,,limit,,
31,60239.541794,r,18.889,,limit,55.6,13.4
32,60239.53941,r,19.107,,limit,,
34,60239.534641,r,19.446,,limit,52.4,7.8
36,60238.541782,r,19.173,,limit,50.4,10.1
37,60238.539398,r,19.366,,limit,,
39,60238.534618,r,19.604,,limit,,
41,60236.540243,r,18.895,,limit,,
42,60236.537812,r,19.148,,limit,,
43,60236.53537,r,19.348,,limit,,
44,60236.53294,r,19.49,,limit,,
45,60235.540764,r,18.6,,limit,,
46,60235.538322,r,18.755,,limit,,
47,60235.535891,r,18.885,,limit,,
48,60235.533449,r,19.06,,limit,,
49,60235.531019,r,19.036,,limit,,
50,60234.537488,r,18.178,,limit,,
51,60234.535104,r,18.618,,limit,,
52,60234.532708,r,18.184,,limit,,
53,60234.530324,r,18.42,,limit,,
54,60234.527928,r,17.575,,limit,,
56,60113.2375,r,20.131,,limit,,
60,60103.195949,r,20.304,,limit,,
62,60099.250174,r,17.126,,limit,,
67,60088.217384,r,20.52,,limit,,
71,60086.164456,r,20.238,,limit,,
72,60084.204919,r,20.593,,limit,,
74,60082.192199,r,20.431,,limit,,
77,60077.212755,r,20.356,,limit,,
80,60062.195405,r,20.14,,limit,,
83,60058.213113,r,20.447,,limit,,
85,60056.172037,r,20.52,,limit,,
89,60050.256343,r,20.524,,limit,,
95,60020.321852,r,20.616,,limit,,
101,59996.364931,r,17.504,,limit,,
128,59899.477164,r,18.665,,limit,,
161,59873.542824,r,17.749,,limit,,
162,59873.540428,r,18.284,,limit,,
