,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
0,60356.444213,g,20.34,0.214,positive,,
2,60354.444537,g,20.51,0.252,positive,21.9,3.3
4,60352.444896,g,20.447,0.306,positive,23.9,4.0
55,60115.238935,g,18.839,0.117,positive,,
57,60111.245139,g,18.691,0.142,positive,,
59,60105.215127,g,18.722,0.093,positive,,
61,60101.20515,g,18.678,0.1,positive,,
66,60088.276852,g,18.732,0.103,positive,,
68,60086.30647,g,18.78,0.083,positive,,
69,60086.212361,g,18.71,0.072,positive,,
73,60082.242315,g,18.567,0.157,positive,,
75,60080.2375,g,18.789,0.098,positive,,
76,60077.291169,g,18.754,0.083,positive,,
79,60062.212859,g,18.779,0.099,positive,,
82,60058.297928,g,18.661,0.082,positive,,
84,60056.212789,g,18.745,0.092,positive,,
86,60054.257222,g,18.774,0.09,positive,,
88,60052.269398,g,18.629,0.067,positive,,
90,60050.183565,g,18.676,0.09,positive,,
91,60045.318588,g,18.621,0.077,positive,,
92,60036.319977,g,18.509,0.123,positive,,
94,60031.28897,g,18.458,0.086,positive,,
96,60020.223831,g,18.362,0.073,positive,,
98,60016.206042,g,18.348,0.085,positive,,
103,59985.440857,g,18.014,0.061,positive,,
106,59979.336227,g,17.825,0.075,positive,,
108,59972.420741,g,17.567,0.048,positive,,
111,59968.423148,g,17.184,0.05,positive,,
114,59937.524352,g,16.048,0.031,positive,,
115,59935.393507,g,16.207,0.034,positive,,
117,59933.458148,g,16.29,0.041,positive,,
119,59930.500405,g,16.378,0.027,positive,,
122,59914.482014,g,16.751,0.054,positive,,
123,59910.503495,g,16.898,0.049,positive,,
126,59903.515822,g,16.821,0.041,positive,,
129,59897.491019,g,16.42,0.035,positive,,
