,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
8,60250.535023,r,19.808,0.205,positive,,
9,60250.532569,r,19.792,0.256,positive,42.7,6.3
21,60248.526065,r,19.338,0.274,positive,,
33,60239.537014,r,19.527,0.215,positive,,
35,60239.532245,r,19.652,0.233,positive,,
38,60238.537014,r,19.392,0.182,positive,,
40,60238.532222,r,19.295,0.181,positive,68.9,6.9
58,60105.236146,r,18.472,0.071,positive,,
64,60097.211481,r,18.437,0.087,positive,,
65,60090.182257,r,18.354,0.062,positive,,
70,60086.189444,r,18.834,0.121,positive,,
81,60060.1814,r,18.287,0.069,positive,,
87,60052.281944,r,18.243,0.06,positive,,
93,60031.297141,r,18.022,0.059,positive,,
97,60016.351736,r,17.772,0.072,positive,,
100,59996.364931,r,17.429,0.186,positive,,
102,59992.380451,r,17.476,0.248,positive,,
104,59985.392894,r,17.364,0.05,positive,,
105,59979.433102,r,17.261,0.037,positive,,
107,59972.465116,r,16.971,0.03,positive,,
110,59968.442639,r,16.696,0.031,positive,,
112,59965.423866,r,16.366,0.031,positive,,
113,59953.462373,r,15.113,0.025,positive,,
116,59933.505648,r,15.292,0.034,positive,,
118,59930.543762,r,15.31,0.023,positive,,
120,59923.457083,r,15.236,0.027,positive,,
121,59914.531169,r,15.445,0.026,positive,,
125,59905.450891,r,15.449,0.096,positive,,
127,59903.489873,r,15.462,0.022,positive,,
130,59895.554468,r,15.16,0.037,positive,,
131,59884.537245,r,14.948,0.044,positive,,
132,59884.534792,r,14.944,0.044,positive,,
133,59884.532338,r,14.956,0.04,positive,,
134,59884.529884,r,14.96,0.038,positive,,
135,59884.527431,r,14.942,0.034,positive,,
136,59883.536285,r,14.936,0.023,positive,,
137,59883.533831,r,14.912,0.027,positive,,
138,59883.531377,r,14.956,0.033,positive,,
139,59883.528924,r,14.921,0.025,positive,,
140,59883.52647,r,14.918,0.028,positive,,
141,59882.536053,r,14.88,0.028,positive,,
142,59882.533507,r,14.898,0.021,positive,,
143,59882.530984,r,14.896,0.027,positive,,
144,59882.528461,r,14.927,0.02,positive,,
145,59882.525926,r,14.9,0.022,positive,,
146,59881.534109,r,14.899,0.029,positive,,
147,59881.531667,r,14.878,0.026,positive,,
148,59881.529225,r,14.883,0.024,positive,,
149,59881.526771,r,14.902,0.029,positive,,
150,59881.524479,r,14.887,0.028,positive,,
151,59880.534016,r,14.89,0.026,positive,,
152,59880.531574,r,14.869,0.023,positive,,
153,59880.529144,r,14.869,0.025,positive,,
154,59880.52669,r,14.885,0.026,positive,,
155,59880.524248,r,14.861,0.025,positive,,
156,59874.542072,r,14.989,0.025,positive,,
157,59874.539687,r,15.012,0.021,positive,,
158,59874.537292,r,15.012,0.022,positive,,
159,59874.534907,r,15.002,0.018,positive,,
160,59874.532523,r,14.999,0.02,positive,,
163,59873.538044,r,15.059,0.039,positive,,
164,59873.53566,r,15.067,0.026,positive,,
165,59873.533275,r,15.035,0.027,positive,,
166,59872.542569,r,15.138,0.022,positive,,
167,59872.540197,r,15.132,0.026,positive,,
168,59872.535417,r,15.145,0.021,positive,,
169,59872.533032,r,15.115,0.025,positive,,
170,59871.540428,r,15.208,0.021,positive,,
171,59871.537986,r,15.179,0.021,positive,,
172,59871.535544,r,15.197,0.028,positive,,
173,59871.533113,r,15.211,0.033,positive,,
174,59870.540718,r,15.286,0.02,positive,,
175,59870.538287,r,15.299,0.022,positive,,
176,59870.535856,r,15.318,0.025,positive,,
177,59870.533414,r,15.285,0.026,positive,,
178,59870.530984,r,15.299,0.033,positive,,
