,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
1,60207.455845,g,20.662,,limit,,
2,60205.477789,g,20.657,,limit,,
5,60203.398368,g,20.65,,limit,,
6,60201.482708,g,20.551,,limit,,
8,60198.483345,g,20.351,,limit,,
11,60195.408738,g,19.691,,limit,,
13,60192.383518,g,19.448,,limit,,
14,60187.479861,g,18.944,,limit,,
17,60184.442477,g,20.116,,limit,,
19,60182.418657,g,19.896,,limit,,
21,60178.457338,g,20.394,,limit,,
76,59878.364132,g,20.095,,limit,,
78,59874.398576,g,20.379,,limit,,
81,59872.335382,g,20.078,,limit,,
83,59870.356227,g,20.062,,limit,,
84,59866.441458,g,19.613,,limit,,
85,59864.442801,g,19.14,,limit,,
87,59860.46162,g,19.44,,limit,,
89,59858.439664,g,20.562,,limit,,
91,59856.421759,g,20.492,,limit,,
93,59854.39787,g,20.515,,limit,,
94,59851.49184,g,20.285,,limit,,
