,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
3,60205.418588,r,20.521,,limit,,
4,60203.481262,r,20.429,,limit,,
7,60201.437419,r,20.281,,limit,,
9,60198.43897,r,20.204,,limit,,
12,60192.448414,r,19.95,,limit,,
15,60187.456042,r,19.197,,limit,,
20,60178.483623,r,20.305,,limit,,
22,60173.458194,r,20.147,,limit,,
77,59878.327211,r,19.863,,limit,,
79,59874.356539,r,20.4,,limit,,
80,59872.374861,r,20.208,,limit,,
82,59870.377593,r,20.052,,limit,,
86,59862.443079,r,19.303,,limit,,
88,59860.398599,r,19.545,,limit,,
90,59858.361701,r,19.727,,limit,,
92,59854.443518,r,20.441,,limit,,
95,59851.440069,r,20.358,,limit,,
