,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
26,59984.171123,g,18.449,0.123,positive,,
29,59982.108866,g,18.454,0.125,positive,,
31,59980.129688,g,18.45,0.108,positive,,
33,59978.126794,g,18.406,0.136,positive,,
35,59970.149699,g,18.495,0.122,positive,,
37,59968.172176,g,18.365,0.101,positive,,
38,59967.169676,g,18.384,0.15,positive,,
42,59957.126979,g,18.342,0.198,positive,,
43,59953.113449,g,18.324,0.09,positive,,
51,59922.230556,g,17.477,0.049,positive,,
52,59913.315787,g,17.073,0.047,positive,,
54,59910.223657,g,16.886,0.035,positive,,
57,59905.275648,g,16.623,0.152,positive,,
59,59901.309306,g,16.564,0.034,positive,,
61,59900.289271,g,16.53,0.048,positive,,
63,59898.30912,g,16.526,0.035,positive,,
65,59897.253657,g,16.523,0.038,positive,,
67,59895.29066,g,16.553,0.036,positive,,
68,59893.400833,g,16.587,0.04,positive,,
69,59888.424757,g,16.495,0.151,positive,,
71,59885.27088,g,16.873,0.063,positive,,
72,59882.396736,g,17.834,0.083,positive,,
74,59880.368588,g,19.084,0.124,positive,,
