,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
0,60207.461458,r,19.562,0.131,positive,,
10,60195.480278,r,19.517,0.157,positive,,
16,60184.489676,r,19.749,0.192,positive,,
18,60182.463634,r,19.345,0.142,positive,,
23,60170.482384,r,19.236,0.121,positive,,
24,59994.172396,r,17.661,0.065,positive,,
25,59991.17081,r,17.553,0.056,positive,,
27,59984.149525,r,17.599,0.051,positive,,
28,59982.170474,r,17.583,0.079,positive,,
30,59980.172118,r,17.441,0.05,positive,,
32,59978.170451,r,17.344,0.143,positive,,
34,59970.192407,r,17.366,0.067,positive,,
36,59968.19066,r,17.29,0.056,positive,,
39,59967.146065,r,17.338,0.07,positive,,
40,59965.169387,r,17.283,0.041,positive,,
41,59957.172917,r,17.157,0.052,positive,,
44,59940.242593,r,16.851,0.035,positive,,
45,59936.231389,r,16.768,0.04,positive,,
46,59934.279097,r,16.705,0.038,positive,,
47,59932.250162,r,16.65,0.037,positive,,
48,59930.174965,r,16.579,0.028,positive,,
49,59923.273276,r,16.297,0.028,positive,,
50,59922.273044,r,16.278,0.025,positive,,
53,59910.259271,r,15.845,0.028,positive,,
55,59908.221632,r,15.793,0.024,positive,,
56,59905.315035,r,15.936,0.054,positive,,
58,59903.32331,r,15.707,0.026,positive,,
60,59901.286308,r,15.67,0.035,positive,,
62,59898.33059,r,15.676,0.031,positive,,
64,59897.309282,r,15.729,0.025,positive,,
66,59895.299873,r,15.757,0.031,positive,,
70,59888.355949,r,16.011,0.034,positive,,
73,59882.334225,r,17.219,0.055,positive,,
75,59880.339236,r,18.49,0.093,positive,,
