,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
2,60388.148357,g,19.278,,limit,13.7,8.3
3,60379.147917,g,18.862,,limit,,
4,60374.215463,g,19.703,,limit,23.0,5.3
10,60339.364086,g,19.159,,limit,30.3,8.5
12,60334.252847,g,18.792,,limit,32.2,12.9
18,60322.273692,g,19.184,,limit,,
23,60308.251794,g,19.46,,limit,59.4,7.2
26,60296.33537,g,18.414,,limit,,
37,60260.351401,g,19.865,,limit,71.8,4.9
48,60249.387627,g,18.818,,limit,81.8,13.2
50,60246.45978,g,18.815,,limit,92.4,12.4
64,60220.459838,g,18.754,,limit,94.5,12.2
79,59970.272662,g,19.294,,limit,,
81,59969.254873,g,19.58,,limit,,
82,59968.255509,g,19.673,,limit,,
84,59965.315891,g,19.372,,limit,,
86,59953.315474,g,18.663,,limit,,
