,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
14,60326.315995,g,19.757,0.217,positive,45.4,4.2
17,60324.21956,g,19.624,0.223,positive,43.9,5.7
21,60314.275706,g,19.639,0.231,positive,48.8,5.4
29,60290.374525,g,19.479,0.155,positive,60.1,5.0
31,60288.441042,g,19.457,0.163,positive,52.7,5.8
33,60287.294942,g,19.533,0.251,positive,,
34,60262.539826,g,19.174,0.132,positive,73.1,4.6
39,60258.378067,g,19.115,0.189,positive,79.0,5.9
41,60254.460127,g,19.096,0.132,positive,82.9,3.7
42,60253.449942,g,19.219,0.158,positive,72.5,4.8
45,60251.364051,g,18.942,0.169,positive,92.4,9.2
47,60249.387627,g,19.074,0.227,positive,81.8,13.2
51,60244.398299,g,19.097,0.264,positive,73.6,14.1
52,60239.482593,g,19.003,0.102,positive,89.7,3.1
55,60237.456204,g,18.948,0.119,positive,93.0,4.1
56,60235.489884,g,18.903,0.119,positive,97.0,3.9
58,60231.446806,g,18.956,0.125,positive,92.5,4.2
59,60228.42522,g,18.836,0.14,positive,98.6,4.9
61,60224.456921,g,18.909,0.132,positive,95.2,6.3
63,60222.461076,g,18.848,0.158,positive,96.0,9.3
65,60215.484225,g,18.823,0.156,positive,105.5,8.4
67,60036.151123,g,15.54,0.025,positive,,
68,60030.154479,g,15.439,0.031,positive,,
70,60017.176308,g,15.193,0.047,positive,,
71,60013.253368,g,15.244,0.027,positive,,
74,59991.190208,g,14.844,0.024,positive,,
