,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
0,60390.150393,r,19.583,0.203,positive,,
5,60368.288137,r,19.345,0.218,positive,62.0,10.6
8,60352.241644,r,19.065,0.11,positive,,
11,60339.233414,r,18.847,0.105,positive,101.1,6.1
15,60326.22647,r,18.681,0.072,positive,123.3,4.5
16,60324.242697,r,18.716,0.086,positive,116.4,6.4
19,60322.252743,r,18.728,0.144,positive,110.4,7.2
20,60314.420405,r,18.453,0.089,positive,148.9,7.3
22,60308.379109,r,18.325,0.259,positive,,
27,60291.354502,r,18.173,0.06,positive,185.7,5.3
28,60290.379722,r,18.152,0.042,positive,201.5,4.1
30,60289.335035,r,18.138,0.068,positive,,
32,60288.400764,r,18.199,0.078,positive,188.1,5.1
35,60262.46566,r,17.826,0.045,positive,274.2,4.3
36,60260.37338,r,17.785,0.047,positive,272.6,5.5
38,60258.437928,r,17.769,0.043,positive,275.7,6.0
40,60254.49787,r,17.726,0.047,positive,294.8,5.2
43,60253.37985,r,17.692,0.047,positive,304.4,6.0
44,60251.430035,r,17.668,0.059,positive,311.1,6.4
46,60249.465058,r,17.764,0.143,positive,,
49,60246.502766,r,17.644,0.048,positive,313.5,8.8
53,60239.437905,r,17.508,0.04,positive,356.3,5.2
54,60237.503877,r,17.482,0.043,positive,373.3,4.5
57,60231.50015,r,17.448,0.042,positive,383.8,5.2
60,60224.500613,r,17.351,0.036,positive,421.9,5.3
62,60222.502396,r,17.294,0.032,positive,438.2,6.8
66,60036.169711,r,14.579,0.028,positive,,
69,60021.148113,r,14.489,0.022,positive,,
72,60013.233264,r,14.419,0.024,positive,,
73,59991.21169,r,14.313,0.023,positive,,
75,59985.209965,r,14.381,0.019,positive,,
76,59982.231331,r,14.382,0.017,positive,,
77,59979.211354,r,14.401,0.026,positive,,
78,59972.273264,r,15.474,0.027,positive,,
