,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
1,60099.197662,g,18.724,0.227,positive,,
4,60092.252732,g,18.601,0.122,positive,,
5,60083.206887,g,18.449,0.082,positive,,
7,60081.223067,g,18.349,0.096,positive,,
10,60077.265845,g,18.348,0.09,positive,,
12,60067.288808,g,18.216,0.15,positive,,
14,60064.165243,g,18.126,0.11,positive,,
15,60060.198773,g,18.178,0.088,positive,,
18,60058.183079,g,18.171,0.071,positive,,
19,60056.201713,g,18.135,0.083,positive,,
21,60054.177292,g,18.097,0.062,positive,,
23,60052.23463,g,18.183,0.075,positive,,
25,60050.173403,g,18.123,0.065,positive,,
26,60046.196505,g,18.108,0.063,positive,,
29,60044.165764,g,18.055,0.069,positive,,
33,60031.222708,g,17.978,0.078,positive,,
34,60021.28397,g,17.87,0.068,positive,,
36,60017.218241,g,17.841,0.05,positive,,
38,59994.406447,g,17.262,0.049,positive,,
41,59992.267465,g,17.315,0.079,positive,,
