,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
0,60099.242627,r,17.523,0.057,positive,,
2,60097.195856,r,17.414,0.052,positive,,
3,60092.277801,r,17.258,0.047,positive,,
6,60083.180151,r,17.16,0.038,positive,,
8,60081.190937,r,17.069,0.048,positive,,
9,60079.172164,r,17.075,0.042,positive,,
11,60077.217523,r,17.076,0.049,positive,,
13,60064.279965,r,16.969,0.039,positive,,
16,60060.174375,r,17.002,0.043,positive,,
17,60058.221262,r,16.98,0.043,positive,,
20,60056.182026,r,16.979,0.042,positive,,
22,60052.288426,r,16.996,0.037,positive,,
24,60050.203796,r,17.021,0.043,positive,,
27,60046.162199,r,17.054,0.04,positive,,
28,60044.18662,r,17.019,0.038,positive,,
31,60042.176412,r,16.998,0.05,positive,,
32,60031.305023,r,17.015,0.049,positive,,
39,59994.280775,r,17.061,0.039,positive,,
40,59992.327026,r,17.339,0.25,positive,,
