,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
1,60103.238137,g,20.424,,limit,,
3,60101.19897,g,20.253,,limit,,
5,60099.18588,g,18.905,,limit,,
9,60092.246447,g,20.043,,limit,,
10,60092.245972,g,20.177,,limit,,
12,60088.286204,g,20.451,,limit,,
14,60086.303218,g,20.568,,limit,,
15,60086.224664,g,20.551,,limit,,
18,60084.182697,g,20.743,,limit,,
20,60080.264109,g,20.452,,limit,,
21,60078.323449,g,20.456,,limit,,
24,60076.291377,g,20.579,,limit,,
25,60065.320463,g,19.515,,limit,,
28,60063.172824,g,20.024,,limit,,
30,60061.174988,g,20.323,,limit,,
31,60059.322222,g,20.576,,limit,,
33,60057.217697,g,20.667,,limit,,
35,60055.281609,g,20.424,,limit,,
37,60053.306724,g,20.222,,limit,,
40,60051.219884,g,20.795,,limit,,
45,60043.303021,g,19.593,,limit,,
52,59996.343067,g,20.016,,limit,,
55,59992.35309,g,17.988,,limit,,
