,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
0,60105.256898,r,19.447,0.129,positive,,
7,60092.268229,r,19.283,0.111,positive,,
11,60090.178854,r,18.896,0.11,positive,,
16,60086.178773,r,18.884,0.137,positive,,
17,60084.197905,r,18.948,0.105,positive,,
22,60078.262292,r,18.823,0.097,positive,,
23,60076.353819,r,18.769,0.09,positive,,
26,60065.199375,r,18.432,0.071,positive,,
29,60061.195937,r,18.398,0.071,positive,,
32,60059.202697,r,18.395,0.064,positive,,
36,60055.219016,r,18.206,0.063,positive,,
38,60053.241227,r,18.175,0.067,positive,,
39,60051.286007,r,18.091,0.07,positive,,
41,60049.21875,r,17.995,0.067,positive,,
43,60045.267164,r,17.767,0.054,positive,,
44,60043.361736,r,17.541,0.041,positive,,
47,60036.262743,r,16.931,0.047,positive,,
48,60030.354363,r,16.763,0.033,positive,,
49,60020.307558,r,17.358,0.039,positive,,
