,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
1,60088.278264,g,20.808,,limit,,
3,60086.269861,g,20.76,,limit,,
4,60086.21934,g,20.828,,limit,,
7,60084.179329,g,20.875,,limit,,
8,60082.258322,g,19.919,,limit,,
10,60080.266528,g,20.625,,limit,,
12,60078.320949,g,20.667,,limit,,
15,60076.283681,g,20.745,,limit,,
16,60067.283021,g,19.093,,limit,,
18,60064.252974,g,19.942,,limit,,
19,60062.429711,g,20.261,,limit,,
21,60060.392002,g,20.323,,limit,,
