,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
18,60494.199896,g,20.501,,limit,,
20,60490.199815,g,20.751,,limit,,
39,60469.198553,g,21.015,,limit,,
85,60408.324699,g,21.165,,limit,,
122,60165.242118,g,20.015,,limit,,
129,60153.285023,g,19.705,,limit,,
136,60139.222454,g,20.637,,limit,,
137,60137.224583,g,20.601,,limit,,
142,60128.201597,g,19.592,,limit,,
144,60126.206724,g,19.805,,limit,,
145,60124.358819,g,19.553,,limit,,
152,60116.201285,g,20.773,,limit,,
153,60114.284074,g,20.496,,limit,,
156,60112.222107,g,20.612,,limit,,
157,60110.263843,g,20.902,,limit,,
159,60105.30088,g,19.023,,limit,,
161,60103.241076,g,20.758,,limit,,
164,60101.284583,g,19.793,,limit,,
166,60098.19934,g,19.655,,limit,,
167,60093.431076,g,20.381,,limit,,
171,60089.298819,g,20.841,,limit,,
173,60081.316412,g,20.81,,limit,,
175,60079.350104,g,20.746,,limit,,
177,60077.385822,g,20.339,,limit,,
180,60073.262361,g,20.536,,limit,,
181,60065.3011,g,19.919,,limit,,
182,60063.424317,g,20.606,,limit,,
184,60061.358808,g,20.697,,limit,,
186,60059.323819,g,20.807,,limit,,
189,60057.303762,g,20.894,,limit,,
191,60055.293252,g,20.382,,limit,,
