,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
1,60524.244306,r,20.218,,limit,190.3,4.8
2,60519.310475,r,19.769,,limit,190.0,6.3
4,60517.297454,r,19.447,,limit,210.3,8.2
6,60515.259549,r,19.652,,limit,226.7,7.4
8,60513.286597,r,19.511,,limit,235.3,8.5
10,60511.302268,r,19.336,,limit,217.0,9.0
12,60509.263785,r,19.417,,limit,204.9,8.2
15,60507.213634,r,20.118,,limit,223.0,5.0
16,60494.27015,r,20.467,,limit,260.5,4.4
19,60490.260347,r,20.623,,limit,257.4,4.2
21,60488.305336,r,20.438,,limit,273.0,4.3
24,60484.282049,r,20.046,,limit,309.3,5.6
26,60482.320104,r,19.824,,limit,300.7,6.3
28,60480.327234,r,19.856,,limit,312.8,6.5
30,60477.303877,r,20.054,,limit,309.0,5.6
32,60475.2389,r,20.465,,limit,317.6,4.6
34,60473.242604,r,20.438,,limit,313.2,4.6
36,60471.307118,r,20.691,,limit,314.8,4.2
38,60469.322789,r,20.625,,limit,344.7,4.6
40,60463.245394,r,20.773,,limit,349.0,4.1
42,60461.279282,r,20.693,,limit,,
44,60459.348576,r,20.563,,limit,397.7,4.8
46,60457.305046,r,20.437,,limit,400.0,4.7
48,60455.288877,r,19.842,,limit,434.9,6.7
50,60451.308194,r,19.801,,limit,453.4,7.0
52,60449.341123,r,20.154,,limit,444.8,5.5
54,60447.305637,r,20.356,,limit,465.7,5.2
57,60445.242697,r,20.139,,limit,456.7,5.5
58,60443.347546,r,20.499,,limit,469.3,5.0
61,60441.266076,r,20.03,,limit,484.3,6.1
63,60439.281435,r,20.665,,limit,,
65,60438.282766,r,19.934,,limit,529.9,7.2
66,60438.256458,r,20.621,,limit,484.5,4.6
68,60437.24331,r,20.831,,limit,,
69,60433.410764,r,20.946,,limit,490.9,4.2
72,60431.258634,r,20.926,,limit,,
73,60429.366215,r,20.506,,limit,571.8,5.2
75,60423.426146,r,19.948,,limit,,
77,60421.39515,r,19.949,,limit,652.8,6.8
80,60419.263519,r,20.329,,limit,651.2,5.7
82,60417.312477,r,20.416,,limit,,
83,60413.411782,r,20.845,,limit,,
84,60408.367419,r,20.72,,limit,,
87,60404.366377,r,20.578,,limit,744.0,5.7
91,60396.35287,r,19.952,,limit,879.8,7.1
93,60391.242755,r,19.623,,limit,986.8,9.1
95,60388.383993,r,20.272,,limit,963.0,6.6
96,60379.304803,r,20.308,,limit,1051.3,6.8
98,60369.433287,r,20.421,,limit,1208.7,6.7
102,60355.451609,r,20.528,,limit,1414.2,7.2
105,60351.475926,r,20.151,,limit,1525.3,8.2
108,60325.498009,r,20.469,,limit,2115.6,8.5
109,60315.48,r,20.2,,limit,2519.7,9.9
111,60311.517975,r,20.248,,limit,2527.9,9.5
113,60291.536377,r,20.469,,limit,3296.0,10.5
120,60172.18,r,20.396,,limit,,
123,60165.225914,r,20.215,,limit,,
124,60163.265104,r,20.16,,limit,,
128,60159.241111,r,19.639,,limit,,
130,60153.217326,r,20.237,,limit,,
132,60144.221123,r,20.61,,limit,,
133,60141.243125,r,20.449,,limit,,
135,60139.260359,r,20.365,,limit,,
138,60135.288125,r,20.405,,limit,,
141,60128.298785,r,19.566,,limit,,
143,60126.37037,r,19.466,,limit,,
146,60124.239259,r,20.346,,limit,,
148,60120.208333,r,20.635,,limit,,
150,60118.217685,r,20.177,,limit,,
151,60116.247488,r,20.825,,limit,,
154,60114.238831,r,20.757,,limit,,
155,60112.260197,r,20.529,,limit,,
158,60110.225857,r,20.858,,limit,,
160,60105.26434,r,20.918,,limit,,
162,60103.205058,r,20.817,,limit,,
163,60101.35728,r,19.61,,limit,,
165,60098.352662,r,19.37,,limit,,
168,60093.386944,r,20.694,,limit,,
169,60091.362303,r,20.773,,limit,,
170,60089.326482,r,20.807,,limit,,
174,60081.279329,r,20.636,,limit,,
176,60079.332049,r,20.893,,limit,,
178,60077.325486,r,20.493,,limit,,
179,60073.323044,r,20.232,,limit,,
183,60063.407627,r,20.678,,limit,,
185,60061.320799,r,20.719,,limit,,
187,60059.305903,r,20.531,,limit,,
188,60057.386215,r,20.179,,limit,,
190,60055.358657,r,20.789,,limit,,
