,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
0,60526.201875,g,18.816,0.088,positive,,
3,60519.187083,g,18.689,0.096,positive,,
5,60517.197431,g,18.727,0.091,positive,121.1,3.7
7,60515.203032,g,18.645,0.094,positive,,
9,60513.238773,g,18.709,0.133,positive,,
11,60511.219398,g,18.626,0.103,positive,130.6,8.0
13,60509.217685,g,18.56,0.087,positive,,
14,60507.320243,g,18.614,0.103,positive,,
17,60494.199896,g,18.385,0.071,positive,,
22,60488.259005,g,18.415,0.053,positive,,
23,60486.224954,g,18.309,0.069,positive,,
25,60484.243206,g,18.29,0.088,positive,,
27,60482.224317,g,18.324,0.086,positive,173.9,6.4
29,60480.216944,g,18.222,0.066,positive,,
31,60477.224468,g,18.277,0.066,positive,,
33,60475.220764,g,18.168,0.073,positive,,
35,60473.199722,g,18.203,0.05,positive,,
37,60471.237442,g,18.284,0.059,positive,,
41,60463.220151,g,18.132,0.052,positive,,
43,60461.259965,g,18.147,0.062,positive,,
45,60459.282014,g,18.104,0.045,positive,,
47,60457.259271,g,18.078,0.065,positive,,
49,60455.263854,g,17.961,0.072,positive,,
51,60451.223194,g,17.903,0.075,positive,,
53,60449.282882,g,17.891,0.06,positive,,
55,60447.265266,g,17.9,0.049,positive,,
56,60445.304745,g,17.91,0.044,positive,,
59,60443.324097,g,17.823,0.047,positive,265.3,4.2
60,60441.341806,g,17.847,0.046,positive,,
62,60439.322651,g,17.84,0.055,positive,,
64,60438.325289,g,17.792,0.054,positive,,
67,60437.306285,g,17.815,0.046,positive,,
70,60433.364653,g,17.84,0.046,positive,271.8,3.3
71,60431.299051,g,17.773,0.05,positive,292.3,3.5
74,60429.282963,g,17.73,0.053,positive,304.9,3.7
76,60423.33515,g,17.63,0.062,positive,,
78,60421.340995,g,17.613,0.054,positive,,
79,60419.327951,g,17.546,0.044,positive,,
81,60417.34662,g,17.6,0.043,positive,,
86,60404.410961,g,17.409,0.045,positive,,
89,60398.351667,g,17.329,0.036,positive,,
90,60396.391898,g,17.355,0.045,positive,412.2,6.7
92,60391.395741,g,17.242,0.039,positive,,
94,60388.410903,g,17.251,0.043,positive,468.0,5.1
97,60369.496563,g,17.058,0.054,positive,575.1,5.5
99,60365.337766,g,17.264,0.141,positive,,
101,60363.387407,g,16.989,0.083,positive,,
103,60355.4061,g,16.966,0.039,positive,,
104,60353.411227,g,16.991,0.037,positive,,
106,60351.40728,g,16.887,0.031,positive,,
107,60325.545012,g,16.646,0.032,positive,,
110,60315.440046,g,16.491,0.042,positive,886.3,6.6
112,60311.483796,g,16.484,0.03,positive,934.1,6.7
114,60291.494792,g,16.334,0.03,positive,1045.9,6.3
115,60289.534259,g,16.298,0.059,positive,,
117,60287.512535,g,16.249,0.029,positive,1084.3,7.9
118,60188.166771,g,15.213,0.036,positive,,
119,60172.244329,g,14.969,0.033,positive,,
121,60170.24206,g,14.854,0.027,positive,,
125,60163.238819,g,13.826,0.027,positive,,
126,60161.279965,g,13.518,0.031,positive,,
127,60159.284641,g,13.342,0.018,positive,,
131,60144.258993,g,12.778,0.022,positive,,
134,60141.225822,g,12.719,0.025,positive,,
139,60135.241505,g,12.542,0.023,positive,,
140,60133.324977,g,12.447,0.024,positive,,
147,60122.303924,g,12.148,0.017,positive,,
149,60118.257778,g,12.019,0.015,positive,,
172,60083.322998,g,15.905,0.029,positive,,
