,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
1,60268.181678,g,18.909,,limit,,
3,60262.165093,g,20.325,,limit,15.3,3.8
4,60260.132107,g,20.142,,limit,14.9,4.0
6,60258.149549,g,19.628,,limit,11.5,6.4
9,60255.124803,g,20.426,,limit,14.9,3.5
10,60253.229525,g,19.888,,limit,15.8,5.0
13,60251.125046,g,20.473,,limit,13.5,3.1
15,60249.124595,g,20.155,,limit,16.3,3.8
17,60247.127106,g,19.086,,limit,,
18,60245.244757,g,18.395,,limit,,
20,60242.164965,g,19.524,,limit,-0.9,7.2
22,60239.180231,g,20.228,,limit,15.0,3.6
23,60237.221389,g,20.481,,limit,13.3,3.1
31,60228.267153,g,20.142,,limit,17.1,3.9
35,60223.32228,g,19.129,,limit,29.3,10.4
107,60128.443102,g,19.206,,limit,,
111,60124.37728,g,20.272,,limit,,
113,60122.43647,g,20.642,,limit,,
114,60120.419375,g,20.513,,limit,,
117,60118.416643,g,20.308,,limit,,
118,60115.415417,g,20.391,,limit,,
120,60112.430856,g,20.528,,limit,,
122,60110.399676,g,20.787,,limit,,
123,60108.39706,g,20.524,,limit,,
