,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
7,60258.120116,r,19.674,,limit,45.5,6.9
14,60249.150937,r,19.372,,limit,45.2,8.5
16,60247.15103,r,19.079,,limit,,
70,60179.237674,r,20.522,,limit,,
90,60150.372176,r,19.342,,limit,,
98,60142.422141,r,19.097,,limit,,
108,60128.402349,r,19.521,,limit,,
109,60126.442546,r,20.681,,limit,,
110,60124.43897,r,20.505,,limit,,
112,60122.441817,r,20.717,,limit,,
115,60120.393565,r,20.837,,limit,,
116,60118.456678,r,20.41,,limit,,
119,60115.341007,r,20.594,,limit,,
121,60112.394051,r,20.691,,limit,,
