,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
25,60235.178507,g,20.734,0.299,positive,19.5,2.9
27,60233.199514,g,20.71,0.243,positive,19.2,3.2
29,60231.184468,g,20.794,0.275,positive,18.0,3.2
34,60226.187326,g,20.428,0.195,positive,26.1,2.6
38,60221.169699,g,19.988,0.169,positive,37.7,3.0
40,60217.129664,g,19.566,0.174,positive,56.9,6.1
42,60215.181505,g,19.347,0.132,positive,67.7,6.6
44,60213.161887,g,19.28,0.15,positive,70.9,6.2
45,60211.222199,g,19.218,0.158,positive,72.6,5.5
47,60207.223935,g,19.004,0.084,positive,94.2,2.7
50,60205.152176,g,18.953,0.071,positive,97.1,2.7
51,60203.268681,g,18.848,0.073,positive,,
53,60201.212928,g,18.82,0.068,positive,,
55,60198.235544,g,18.769,0.086,positive,,
56,60195.330845,g,18.778,0.076,positive,,
60,60193.25044,g,18.717,0.061,positive,,
62,60187.170498,g,18.803,0.147,positive,,
64,60185.183576,g,18.707,0.127,positive,,
66,60183.322789,g,18.651,0.086,positive,,
67,60181.34956,g,18.617,0.059,positive,,
69,60179.32081,g,18.551,0.072,positive,,
71,60174.347442,g,18.575,0.059,positive,,
75,60172.270301,g,18.42,0.075,positive,,
76,60170.330312,g,18.472,0.062,positive,,
78,60168.360706,g,18.424,0.058,positive,,
81,60162.39456,g,18.29,0.063,positive,,
83,60160.297106,g,18.277,0.064,positive,,
86,60156.32544,g,18.113,0.068,positive,,
87,60154.359734,g,17.972,0.085,positive,,
88,60152.352674,g,18.038,0.045,positive,,
91,60150.309178,g,17.975,0.054,positive,,
93,60148.295903,g,17.929,0.054,positive,,
96,60144.405602,g,17.75,0.049,positive,,
99,60140.373623,g,17.6,0.048,positive,,
100,60140.344444,g,17.604,0.052,positive,,
102,60138.384988,g,17.639,0.057,positive,,
103,60136.4475,g,17.529,0.052,positive,,
106,60134.377662,g,17.557,0.046,positive,,
