,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
0,60285.133507,r,19.721,0.189,positive,,
2,60268.13331,r,19.771,0.271,positive,46.1,5.6
5,60260.109572,r,19.719,0.184,positive,45.6,5.2
8,60255.145833,r,19.723,0.161,positive,46.4,3.5
11,60253.144595,r,19.689,0.172,positive,49.1,3.6
12,60251.184711,r,19.653,0.151,positive,50.3,4.3
19,60245.16184,r,19.681,0.208,positive,46.4,6.2
21,60239.222697,r,19.642,0.173,positive,50.5,3.9
24,60237.183565,r,19.621,0.129,positive,53.5,3.9
26,60235.139028,r,19.504,0.111,positive,57.7,3.0
28,60233.153368,r,19.471,0.113,positive,60.2,3.1
30,60231.158171,r,19.45,0.126,positive,59.4,3.3
32,60228.162026,r,19.177,0.12,positive,71.7,4.8
33,60226.224074,r,19.122,0.092,positive,85.9,3.2
36,60223.185521,r,18.91,0.075,positive,102.2,3.7
37,60221.28853,r,18.725,0.142,positive,109.8,7.0
39,60217.152616,r,18.445,0.074,positive,158.6,5.8
41,60215.234259,r,18.319,0.076,positive,174.2,5.5
43,60213.192732,r,18.218,0.06,positive,185.2,6.7
46,60211.149005,r,18.188,0.052,positive,201.2,4.2
48,60207.186643,r,18.091,0.053,positive,225.0,3.4
49,60205.206736,r,18.04,0.065,positive,231.8,3.3
52,60203.212662,r,18.01,0.043,positive,,
54,60198.269005,r,17.928,0.051,positive,,
57,60195.233206,r,17.925,0.05,positive,,
58,60195.233206,r,17.925,0.05,positive,,
59,60193.269792,r,17.897,0.051,positive,,
61,60187.242651,r,17.924,0.084,positive,,
63,60185.251898,r,17.86,0.05,positive,,
65,60183.374792,r,17.848,0.062,positive,,
68,60181.234688,r,17.887,0.059,positive,,
72,60174.25566,r,17.861,0.053,positive,,
73,60172.277569,r,17.833,0.05,positive,,
74,60172.277569,r,17.833,0.05,positive,,
77,60170.275104,r,17.842,0.044,positive,,
79,60168.318079,r,17.82,0.062,positive,,
80,60164.291806,r,17.77,0.038,positive,,
82,60162.315729,r,17.764,0.057,positive,,
84,60160.282731,r,17.756,0.058,positive,,
85,60156.357581,r,17.686,0.058,positive,,
89,60152.320116,r,17.665,0.043,positive,,
92,60148.351933,r,17.594,0.049,positive,,
94,60146.342604,r,17.562,0.058,positive,,
95,60146.327431,r,17.547,0.049,positive,,
97,60144.308264,r,17.5,0.043,positive,,
101,60138.4525,r,17.382,0.048,positive,,
104,60136.401227,r,17.428,0.041,positive,,
105,60134.422025,r,17.551,0.039,positive,,
