,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
1,60336.270081,g,18.033,0.149,positive,,
5,60251.339815,g,16.552,0.04,positive,,
9,60239.464144,g,16.402,0.031,positive,,
11,60237.43103,g,16.347,0.05,positive,,
14,60235.393438,g,16.346,0.032,positive,,
16,60233.399028,g,16.275,0.037,positive,,
17,60231.439722,g,16.253,0.034,positive,,
20,60225.424132,g,16.143,0.046,positive,,
22,60223.420752,g,16.145,0.035,positive,,
24,60216.462338,g,16.056,0.037,positive,,
26,60213.453588,g,16.008,0.031,positive,,
29,60206.486354,g,15.879,0.036,positive,,
33,60201.497951,g,15.826,0.039,positive,,
35,60198.484329,g,15.783,0.037,positive,,
38,60194.444109,g,15.743,0.042,positive,,
39,60191.443924,g,15.703,0.022,positive,,
40,60186.483819,g,15.65,0.032,positive,,
43,60184.449549,g,15.569,0.041,positive,,
