,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
0,60340.294792,r,17.249,0.045,positive,,
8,60244.337211,r,15.829,0.028,positive,,
12,60237.379306,r,15.721,0.032,positive,,
13,60235.428113,r,15.695,0.034,positive,,
15,60233.44125,r,15.67,0.032,positive,,
25,60213.499491,r,15.415,0.032,positive,2487.3,9.6
27,60211.463819,r,15.369,0.037,positive,2622.2,9.9
30,60206.464884,r,15.294,0.032,positive,,
32,60204.434051,r,15.283,0.031,positive,,
34,60201.44412,r,15.246,0.033,positive,,
36,60198.478461,r,15.184,0.029,positive,,
37,60194.495012,r,15.141,0.032,positive,,
41,60186.420058,r,15.013,0.03,positive,,
42,60184.481817,r,14.964,0.028,positive,,
44,60182.465521,r,14.979,0.026,positive,,
