MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60388.148831,g,18.119,0.124,positive,193.4,10.7
60379.132269,g,17.224,0.058,positive,464.9,8.7
60374.189896,g,16.966,0.052,positive,579.7,7.8
60363.189155,g,16.622,0.052,positive,785.1,17.1
60357.231308,g,19.009,,limit,,
60354.230613,g,16.521,0.064,positive,,
60341.244734,g,16.327,0.035,positive,1039.8,8.3
60326.293241,g,16.152,0.031,positive,1227.7,8.4
60324.220984,g,16.128,0.034,positive,1271.8,8.3
60321.289271,g,16.135,0.043,positive,1195.2,14.4
60314.276644,g,15.994,0.03,positive,1377.2,9.6
60308.323218,g,18.89,,limit,,
60290.435046,g,15.545,0.049,positive,,
60288.345961,g,15.652,0.029,positive,,
60287.376875,g,15.75,0.032,positive,1692.4,10.8
60258.397187,g,19.666,,limit,2.0,7.3
