MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60388.171748,r,16.962,0.041,positive,,
60364.189641,r,16.005,0.078,positive,,
60363.231551,r,15.84,0.05,positive,,
60357.213183,r,15.777,0.029,positive,1760.8,9.8
60354.192662,r,15.749,0.028,positive,1840.2,9.4
60352.240694,r,15.75,0.021,positive,1779.2,10.2
60341.179931,r,15.663,0.023,positive,,
60339.231528,r,15.669,0.023,positive,1930.7,10.4
60334.231389,r,15.641,0.025,positive,1986.9,12.9
60326.228831,r,15.617,0.033,positive,2045.5,9.9
60324.243171,r,15.62,0.026,positive,2040.6,11.7
60308.380521,r,15.398,0.029,positive,,
60295.327569,r,15.529,0.025,positive,2102.4,16.8
60290.376898,r,15.58,0.026,positive,2166.1,13.1
60289.313125,r,15.662,0.034,positive,1981.8,11.8
60288.397928,r,15.801,0.021,positive,1717.9,9.3
60287.314271,r,16.042,0.024,positive,1321.2,9.5
60262.460729,r,20.157,,limit,,
60260.427708,r,20.03,,limit,2.4,5.2
60258.419294,r,19.824,,limit,2.3,6.1
