MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
59863.524387,r,19.506,0.178,positive,,
59863.521910,r,19.486,0.226,positive,,
59863.519433,r,19.565,,limit,,
59863.516956,r,19.419,0.160,positive,,
59863.514479,r,19.602,,limit,,
59862.524479,r,19.591,0.211,positive,,
59862.522014,r,19.469,0.253,positive,,
59862.519537,r,19.556,0.231,positive,,
59862.517060,r,19.302,,limit,,
59862.514595,r,19.167,,limit,,
59861.524907,r,19.296,,limit,,
59861.522419,r,19.380,,limit,,
59861.519919,r,19.612,0.267,positive,,
59861.517419,r,19.522,0.201,positive,,
59861.514931,r,19.268,,limit,,
59860.524873,r,20.133,,limit,,
59860.522396,r,19.480,0.163,positive,,
59860.519907,r,19.662,0.192,positive,,
59860.517431,r,19.411,0.123,positive,,
59860.514965,r,19.573,0.175,positive,,
59855.533056,r,19.425,0.251,positive,,
59855.530683,r,19.451,,limit,,
59855.528322,r,19.667,,limit,,
59855.525949,r,19.481,0.166,positive,,
59855.523588,r,19.694,0.159,positive,,
59854.534074,r,18.154,,limit,,
59853.532697,r,19.057,,limit,,
59853.530255,r,19.330,,limit,,
59853.527801,r,19.538,0.181,positive,,
59853.525347,r,19.760,,limit,,
59853.522905,r,19.916,,limit,,
59852.531111,r,19.101,,limit,,
59852.528669,r,19.333,,limit,,
59852.526227,r,19.571,,limit,,
59852.523785,r,19.639,,limit,,
59852.521343,r,19.393,0.161,positive,,
59851.531794,r,18.904,,limit,,
59851.529340,r,19.197,,limit,,
59851.526910,r,19.504,,limit,,
59851.524468,r,19.388,0.150,positive,,
59851.522014,r,19.470,0.153,positive,,
59850.530035,r,18.738,,limit,,
59850.527627,r,16.715,,limit,,
59850.525220,r,19.111,,limit,,
59850.520417,r,19.446,,limit,,
59849.528854,r,18.755,,limit,,
59849.526424,r,18.983,,limit,,
59849.523993,r,19.309,0.255,positive,,
59849.521574,r,19.220,0.211,positive,,
59849.519143,r,19.203,0.153,positive,,
59848.528843,r,18.515,,limit,,
59848.526470,r,19.171,0.169,positive,,
59848.524097,r,19.108,,limit,,
59848.521725,r,19.334,,limit,,
59718.275313,r,16.139,0.031,positive,,
59718.207350,r,16.145,0.030,positive,,
59715.214201,g,16.471,0.046,positive,,
59713.213426,r,15.998,0.035,positive,,
59713.196516,g,16.385,0.046,positive,,
59711.261921,r,16.006,0.027,positive,,
59711.173032,g,16.333,0.043,positive,,
59703.283345,r,15.839,0.026,positive,,
59703.270324,g,16.029,0.035,positive,,
59701.204028,r,15.794,0.026,positive,,
59701.184340,g,15.981,0.030,positive,,
59699.201482,g,15.880,0.032,positive,,
59699.186632,r,15.711,0.036,positive,,
59696.163102,r,15.666,0.022,positive,,
59694.258947,g,15.698,0.035,positive,,
59694.169954,r,15.606,0.024,positive,,
59690.267280,g,15.661,0.024,positive,,
59690.233669,r,15.594,0.028,positive,,
59688.332234,r,15.590,0.023,positive,,
59688.172141,g,15.622,0.032,positive,,
59685.321528,g,15.675,0.029,positive,,
59685.248125,r,15.646,0.023,positive,,
59683.366215,r,15.695,0.027,positive,,
59683.276979,g,15.695,0.031,positive,,
59678.310787,g,15.755,0.036,positive,,
59678.213518,r,20.369,,limit,,
59676.342824,r,15.844,0.025,positive,,
59676.312338,g,15.780,0.027,positive,,
59674.363449,g,15.813,0.035,positive,,
59674.305868,r,15.908,0.021,positive,,
59671.325000,r,16.020,0.028,positive,,
59671.325000,r,16.022,0.029,positive,,
59671.281192,g,15.864,0.028,positive,,
59671.281192,g,15.868,0.028,positive,,
