MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60509.408750,g,18.233,0.069,positive,,
60505.446528,g,20.684,,limit,2.5,2.5
60505.402303,r,20.579,,limit,4.4,2.3
60502.451238,g,20.584,,limit,-0.5,2.7
60502.388947,r,20.405,,limit,3.5,3.3
60494.452245,g,20.651,,limit,-1.7,2.7
60494.374907,r,20.128,,limit,-3.4,4.0
60488.455660,g,20.165,,limit,4.9,4.0
60488.361192,r,19.928,,limit,1.9,4.5
60485.450984,g,19.772,,limit,-4.0,6.0
60485.390880,r,19.736,,limit,-8.0,5.9
60483.432268,g,19.337,,limit,11.0,8.2
60483.362940,r,18.935,,limit,-1.9,10.8
60481.430012,g,19.655,,limit,-9.2,5.9
60481.366447,r,19.319,,limit,7.4,8.2
60479.453669,g,20.333,,limit,-0.4,3.3
59490.346748,g,18.566,0.082,positive,,
59488.305312,r,18.096,0.052,positive,,
59488.263472,g,18.115,0.060,positive,,
59486.340880,g,17.965,0.076,positive,,
59486.288484,r,18.158,0.058,positive,,
59484.359560,g,17.753,0.053,positive,,
59484.263982,r,18.033,0.055,positive,,
59479.258900,r,19.560,,limit,,
59479.195336,g,19.168,,limit,,
59477.328819,g,19.380,,limit,,
59477.236458,r,19.660,,limit,,
59474.389248,g,20.231,,limit,,
59474.288877,r,20.109,,limit,,
59471.428218,r,20.505,,limit,,
59471.373507,g,20.572,,limit,,
59469.392049,r,20.702,,limit,,
59467.428287,g,20.802,,limit,,
59467.383380,r,20.700,,limit,,
59465.405718,g,20.796,,limit,,
59465.350718,r,20.635,,limit,,
59463.364074,g,20.832,,limit,,
59463.326470,r,20.608,,limit,,
59461.407535,g,20.897,,limit,,
59461.368796,r,20.743,,limit,,
59459.365289,r,20.853,,limit,,
59459.323750,g,20.906,,limit,,
59456.325995,g,20.448,,limit,,
59153.323206,r,19.282,0.211,positive,,
59153.212998,g,19.079,0.137,positive,,
59151.229190,r,19.813,,limit,,
59151.197430,g,19.555,,limit,,
59149.255320,g,19.341,,limit,,
59149.198230,r,19.397,,limit,,
59146.329200,g,20.015,,limit,,
59146.192860,r,19.567,,limit,,
59144.322940,g,20.971,,limit,,
59144.215290,r,20.641,,limit,,
59142.196910,g,21.809,,limit,,
59140.242600,r,20.687,,limit,,
59140.205740,g,20.910,,limit,,
59138.308970,r,20.544,,limit,,
59138.235140,g,20.604,,limit,,
59136.342510,g,20.832,,limit,,
59136.206980,r,20.639,,limit,,
59134.246020,g,20.716,,limit,,
59134.203190,r,20.521,,limit,,
59131.236940,r,20.616,,limit,,
59129.326300,g,20.229,,limit,,
59129.217670,r,20.250,,limit,,
59127.326110,r,17.684,,limit,,
59127.275250,r,18.384,,limit,,
59127.247810,g,19.084,,limit,,
59126.341980,r,19.691,,limit,,
59126.244730,g,19.630,,limit,,
59125.235160,g,19.514,,limit,,
59124.312140,r,19.574,,limit,,
59123.385910,g,19.115,,limit,,
59123.328160,r,19.230,,limit,,
58493.161285,g,18.671,0.076,positive,,
58490.132072,r,18.397,0.064,positive,,
58486.152535,g,17.843,0.046,positive,,
58482.140530,g,20.206,,limit,,
58474.136550,r,19.850,,limit,,
58471.139680,r,19.362,,limit,,
58468.299830,g,19.600,,limit,,
58464.266010,r,19.836,,limit,,
58456.171440,r,20.157,,limit,,
