MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
58967.227049,g,18.608,0.103,positive,,
58965.286690,r,18.513,0.074,positive,,
58965.232292,g,18.456,0.101,positive,,
58963.311748,g,18.600,0.092,positive,,
58962.232974,g,18.439,0.077,positive,,
58955.300162,g,18.308,0.070,positive,,
58955.281190,r,20.293,,limit,,
58955.267755,r,18.133,0.064,positive,,
58954.298067,g,18.284,0.067,positive,,
58954.258796,r,18.114,0.079,positive,,
58941.456620,g,20.032,,limit,,
58940.393982,g,17.759,0.068,positive,,
58939.359920,r,18.392,,limit,,
58939.337685,g,17.873,0.069,positive,,
58936.412882,r,17.594,0.058,positive,,
58936.289768,g,17.690,0.051,positive,,
58915.444468,g,17.179,0.042,positive,,
58915.403657,r,16.895,0.046,positive,,
58914.424745,g,17.244,0.046,positive,,
58914.377870,r,19.901,,limit,,
58913.445336,r,16.824,0.046,positive,,
58913.330891,g,17.102,0.042,positive,,
58912.446690,r,16.809,0.046,positive,,
58911.446366,r,16.721,0.039,positive,,
58911.399387,g,17.165,0.044,positive,,
58908.449653,r,16.638,0.041,positive,,
58908.449653,r,16.638,0.041,positive,,
58908.340926,g,17.035,0.049,positive,,
58908.340926,g,17.035,0.049,positive,,
58906.445926,r,16.599,0.043,positive,,
58906.333831,g,16.945,0.038,positive,,
58905.307396,g,16.962,0.043,positive,,
58904.470556,r,16.497,0.028,positive,,
58904.458808,g,16.972,0.049,positive,,
58903.356863,g,16.925,0.036,positive,,
58901.418901,r,16.428,0.056,positive,,
58900.437523,r,16.393,0.049,positive,,
58899.441007,r,16.381,0.032,positive,,
58899.400116,g,16.916,0.037,positive,,
58898.419491,g,16.893,0.036,positive,,
58898.373877,r,16.301,0.035,positive,,
58895.442454,r,16.182,0.034,positive,,
58895.384074,g,16.816,0.028,positive,,
58892.380914,g,16.766,0.035,positive,,
58892.316887,r,16.089,0.032,positive,,
58887.515914,r,15.837,0.029,positive,,
58887.425776,g,16.608,0.043,positive,,
58884.516238,r,15.630,0.027,positive,,
58884.442303,g,16.491,0.033,positive,,
58881.538657,r,15.391,0.033,positive,,
58881.461458,g,16.326,0.026,positive,,
58878.486551,g,16.039,0.024,positive,,
58878.360509,r,15.057,0.023,positive,,
58875.521076,r,14.677,0.025,positive,,
58875.456991,g,15.676,0.025,positive,,
58871.502234,r,14.170,0.035,positive,,
58871.442685,g,15.030,0.024,positive,,
58867.481562,r,13.860,0.020,positive,,
58867.440336,g,14.300,0.030,positive,,
58859.522280,g,14.916,0.028,positive,,
58859.481250,r,14.769,0.033,positive,,
58855.542292,r,17.280,0.056,positive,,
58852.546400,r,20.522,,limit,,
58849.503180,g,20.552,,limit,,
58846.567030,r,20.406,,limit,,
58846.546180,g,20.481,,limit,,
58838.569370,r,18.441,,limit,,
58837.546820,g,19.624,,limit,,
58837.462140,r,19.581,,limit,,
58834.523700,r,18.894,,limit,,
58833.565350,g,18.858,,limit,,
58831.548470,g,19.444,,limit,,
58828.547820,g,19.201,,limit,,
