MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
59349.294583,r,20.336,0.217,positive,,
59349.234653,g,20.641,,limit,,
59347.273692,g,20.704,,limit,,
59345.361574,g,20.952,0.373,positive,,
59345.316401,r,20.224,0.200,positive,,
59343.315220,r,20.102,0.222,positive,,
59343.274109,g,20.580,,limit,,
59341.276018,r,20.129,0.171,positive,,
59339.315336,r,20.138,0.194,positive,,
59339.231887,g,20.558,,limit,,
59336.336018,r,20.059,0.198,positive,,
59336.336018,r,20.059,0.198,positive,,
59334.335822,r,20.024,0.254,positive,,
59334.235382,g,20.434,,limit,,
59328.280000,r,19.801,0.272,positive,,
59324.360891,g,20.345,,limit,,
59322.335394,g,20.367,,limit,,
59320.364340,g,20.573,,limit,,
59317.397176,r,19.879,0.182,positive,,
59317.291806,g,20.644,,limit,,
59315.355336,r,19.942,0.220,positive,,
59315.332338,g,19.558,,limit,,
59313.290787,g,19.937,,limit,,
59311.359144,g,20.972,0.294,positive,,
59311.317512,r,19.776,0.164,positive,,
59309.378461,r,19.734,0.177,positive,,
59307.416065,r,19.780,0.178,positive,,
59307.379815,g,20.308,,limit,,
59305.400023,g,19.526,,limit,,
59305.354062,r,19.749,0.209,positive,,
59302.419398,r,18.864,,limit,,
59302.337072,g,18.650,,limit,,
59300.375185,g,18.893,,limit,,
59297.399271,r,19.601,0.160,positive,,
59297.320127,g,19.447,,limit,,
59295.399884,r,19.658,0.162,positive,,
59295.333137,g,19.765,,limit,,
59292.395405,r,19.707,0.149,positive,,
59290.418704,g,20.551,0.231,positive,,
59278.505556,g,19.893,,limit,,
59278.480521,r,19.443,0.131,positive,,
59273.460451,r,18.942,0.218,positive,,
59273.399236,g,18.464,,limit,,
59271.460579,r,19.280,0.227,positive,,
59271.422407,g,18.977,,limit,,
59269.481597,g,20.080,,limit,,
59269.395637,r,19.819,,limit,,
59267.420637,r,19.322,0.155,positive,,
59267.380544,g,19.483,,limit,,
59265.421181,g,19.818,,limit,,
59265.358380,r,19.187,0.180,positive,,
59263.520139,g,20.036,,limit,,
59263.480995,r,19.375,0.226,positive,,
59260.501852,g,17.981,,limit,,
59260.404352,r,19.103,0.188,positive,,
59256.507986,g,20.575,0.258,positive,,
59254.524954,g,20.196,,limit,,
59254.419942,r,19.455,,limit,,
59254.419940,r,19.455,,limit,,
59252.524583,g,20.417,0.174,positive,,
59252.518889,r,19.222,0.124,positive,,
59250.462910,g,19.708,,limit,,
59250.462905,g,19.708,,limit,,
59250.425116,r,19.100,0.150,positive,,
59231.547616,g,20.406,0.220,positive,,
59231.497118,r,18.959,0.095,positive,,
59228.520023,g,20.068,0.174,positive,,
59228.499433,r,18.911,0.088,positive,,
59225.497620,g,18.755,,limit,,
59223.499803,r,18.937,0.147,positive,,
59219.488542,r,18.918,0.133,positive,,
59217.542480,g,19.228,,limit,,
59217.483000,r,19.536,,limit,,
59215.525012,r,18.921,0.174,positive,,
59203.572153,r,18.787,0.251,positive,,
59203.567465,r,18.625,0.113,positive,,
59203.562766,r,18.651,0.134,positive,,
59203.558056,r,18.702,0.101,positive,,
59202.571597,r,18.740,0.178,positive,,
59202.566898,r,18.664,0.142,positive,,
59202.562199,r,18.801,0.161,positive,,
59202.557500,r,18.686,0.153,positive,,
59201.568390,r,19.058,,limit,,
59201.559770,r,19.539,,limit,,
59200.571890,r,17.911,,limit,,
59200.567150,r,18.364,,limit,,
59200.562407,r,18.759,0.203,positive,,
59200.557674,r,18.806,0.160,positive,,
59199.571447,r,18.776,0.173,positive,,
59199.566736,r,18.728,0.095,positive,,
59199.562014,r,18.765,0.109,positive,,
59199.557315,r,18.663,0.107,positive,,
59198.570845,r,18.754,0.210,positive,,
59198.566134,r,18.679,0.120,positive,,
59198.561412,r,18.738,0.127,positive,,
59198.556701,r,18.652,0.108,positive,,
59196.572465,r,18.549,0.274,positive,,
59196.567766,r,18.677,0.136,positive,,
59196.563067,r,18.750,0.172,positive,,
59196.558357,r,18.770,0.115,positive,,
59196.553657,r,18.577,0.120,positive,,
59195.571551,r,18.992,0.271,positive,,
59195.566794,r,18.815,0.139,positive,,
59195.562049,r,18.728,0.131,positive,,
59195.557292,r,18.682,0.180,positive,,
59195.552535,r,18.643,0.190,positive,,
59194.571134,r,18.695,0.176,positive,,
59194.566389,r,18.701,0.156,positive,,
59194.561655,r,18.608,0.123,positive,,
59194.556910,r,18.635,0.112,positive,,
59194.552164,r,18.631,0.099,positive,,
59193.571030,r,18.869,0.158,positive,,
59193.566331,r,18.597,0.155,positive,,
59193.561609,r,18.674,0.107,positive,,
59193.556910,r,18.664,0.117,positive,,
59193.552199,r,18.632,0.111,positive,,
59192.569860,r,18.276,,limit,,
59192.565150,r,16.466,,limit,,
59192.560451,r,18.785,0.138,positive,,
59192.555764,r,18.732,0.134,positive,,
59192.551053,r,18.546,0.198,positive,,
59043.232025,r,15.925,0.035,positive,,
59043.190451,g,16.339,0.031,positive,,
59040.210637,g,16.352,0.027,positive,,
59040.196146,r,15.988,0.037,positive,,
59037.230810,g,16.304,0.037,positive,,
59037.185857,r,15.944,0.033,positive,,
59033.191331,g,16.252,0.028,positive,,
59033.170857,r,15.936,0.046,positive,,
59028.212164,r,15.931,0.034,positive,,
59028.202523,g,16.141,0.032,positive,,
59025.228947,g,16.087,0.039,positive,,
59022.219086,r,15.993,0.045,positive,,
59022.200810,g,16.041,0.033,positive,,
59019.253785,g,16.013,0.030,positive,,
59019.211354,r,15.989,0.032,positive,,
59016.225278,r,16.148,0.035,positive,,
59016.197893,g,16.050,0.039,positive,,
59012.230347,r,16.667,0.038,positive,,
59012.192732,g,16.405,0.035,positive,,
59009.200050,r,19.843,,limit,,
59005.269000,r,19.226,,limit,,
59001.372750,g,19.397,,limit,,
59001.230960,r,19.501,,limit,,
58998.336850,g,20.633,,limit,,
58998.273770,r,20.473,,limit,,
58995.298480,g,20.487,,limit,,
58992.316420,g,20.545,,limit,,
58992.253590,r,20.488,,limit,,
58986.272360,r,20.445,,limit,,
