MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
59256.242836,r,19.629,0.150,positive,,
59253.321111,r,19.604,0.133,positive,,
59251.449340,r,20.052,,limit,,
59251.361530,g,20.511,,limit,,
59249.389810,r,19.526,,limit,,
59249.261870,g,18.692,,limit,,
59233.338634,g,20.008,0.208,positive,,
59231.382500,g,19.832,0.160,positive,,
59231.366330,r,20.389,,limit,,
59229.425070,r,19.483,,limit,,
59229.339870,g,20.040,,limit,,
59227.435787,g,19.658,0.161,positive,,
59227.369720,r,20.227,,limit,,
59225.391840,r,19.206,0.129,positive,,
59225.344954,g,19.754,0.141,positive,,
59223.447963,r,19.220,0.152,positive,,
59223.388287,g,19.660,0.140,positive,,
59221.368461,r,19.208,0.116,positive,,
59221.349132,g,19.673,0.146,positive,,
59219.347245,r,19.219,0.122,positive,,
59219.285058,g,19.547,0.178,positive,,
59217.431019,g,19.488,0.150,positive,,
59217.344340,r,19.070,0.123,positive,,
59215.433040,g,19.032,,limit,,
59215.403510,r,18.424,,limit,,
59206.447650,r,19.330,,limit,,
59206.381940,g,18.150,,limit,,
59204.450625,g,19.368,0.108,positive,,
59204.428113,r,18.903,0.127,positive,,
59202.528993,r,18.836,0.133,positive,,
59202.495035,g,19.206,0.105,positive,,
59199.536366,g,19.296,0.128,positive,,
59199.386690,r,18.777,0.083,positive,,
59196.471840,r,18.663,0.108,positive,,
59196.447396,g,19.106,0.175,positive,,
59194.471979,r,18.649,0.084,positive,,
59194.434421,g,19.073,0.127,positive,,
59192.452440,r,17.537,,limit,,
59192.404590,g,18.991,,limit,,
59189.493530,g,20.050,,limit,,
59189.455116,r,18.664,0.151,positive,,
59187.514000,g,19.072,,limit,,
59187.468924,r,18.625,0.125,positive,,
59185.452303,g,18.978,0.154,positive,,
59185.374583,r,18.521,0.084,positive,,
59183.464780,r,16.200,,limit,,
59183.432070,g,16.457,,limit,,
59181.509306,g,19.073,0.125,positive,,
59181.471563,r,18.557,0.079,positive,,
59179.364444,r,18.385,0.114,positive,,
59176.534502,r,18.473,0.071,positive,,
59176.498194,g,18.915,0.090,positive,,
59174.458370,r,19.302,,limit,,
59171.466308,r,18.361,0.071,positive,,
59169.532593,r,18.453,0.088,positive,,
59169.493067,g,18.817,0.084,positive,,
59167.524167,g,18.708,0.081,positive,,
59167.490949,r,18.319,0.070,positive,,
59165.427315,r,18.285,0.068,positive,,
59165.388576,g,18.748,0.090,positive,,
59158.516921,r,18.251,0.087,positive,,
59158.491331,g,18.543,0.097,positive,,
59156.531979,r,18.129,0.071,positive,,
59156.493368,g,18.575,0.103,positive,,
59153.515730,g,19.326,,limit,,
59153.490208,r,18.124,0.071,positive,,
59151.449063,r,18.056,0.083,positive,,
59151.392419,g,18.460,0.116,positive,,
59149.508414,g,18.368,0.077,positive,,
59149.390694,r,17.942,0.074,positive,,
59145.498229,r,17.970,0.066,positive,,
59145.451042,g,18.405,0.071,positive,,
59143.492153,r,17.935,0.071,positive,,
59143.429977,g,18.406,0.065,positive,,
59141.487245,r,17.879,0.059,positive,,
59141.453958,g,18.325,0.056,positive,,
59139.493646,r,17.838,0.052,positive,,
59139.410880,g,18.300,0.103,positive,,
59137.507083,r,17.852,0.066,positive,,
59137.450521,g,18.293,0.073,positive,,
59135.507732,r,17.774,0.056,positive,,
59135.446389,g,18.230,0.076,positive,,
59130.492685,g,18.066,0.055,positive,,
59130.479190,r,17.600,0.054,positive,,
59128.493391,r,17.588,0.078,positive,,
59128.456424,g,18.127,0.079,positive,,
59126.516296,r,17.648,0.064,positive,,
59126.468333,g,18.124,0.080,positive,,
59124.517778,g,18.071,0.075,positive,,
59124.458634,r,17.534,0.052,positive,,
59013.221019,g,17.053,0.045,positive,,
59005.249420,r,18.491,,limit,,
59005.177740,g,19.339,,limit,,
58999.221270,g,19.668,,limit,,
58999.186640,r,19.730,,limit,,
58996.240460,r,20.105,,limit,,
58996.183480,g,20.417,,limit,,
58993.235600,g,20.331,,limit,,
58986.243030,r,20.249,,limit,,
58986.180300,g,20.562,,limit,,
