MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60052.168171,r,16.936,0.048,positive,,
60050.189363,r,16.834,0.040,positive,,
60050.156030,g,18.745,0.092,positive,,
60046.189352,g,18.361,0.071,positive,,
60046.151944,r,16.583,0.044,positive,,
60044.168403,r,16.482,0.032,positive,,
60044.152118,g,18.160,0.065,positive,,
60036.188912,r,16.332,0.035,positive,,
60036.148287,g,17.497,0.057,positive,,
60031.189340,g,17.657,0.079,positive,,
60031.149236,r,16.619,0.028,positive,,
60020.168137,g,20.005,,limit,,
60013.271771,g,19.076,,limit,,
import pandas as pd
import matplotlib.pyplot as plt
# Replace with SN name
SN_name = "ZTF23aadvjqb"
save_path = './'
file = SN_name +"_LC_raw.csv"
df = pd.read_csv(file)
df
