MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60388.171748,r,16.962,0.041,positive,,
60388.148831,g,18.119,0.124,positive,193.4,10.7
60379.132269,g,17.224,0.058,positive,464.9,8.7
60374.189896,g,16.966,0.052,positive,579.7,7.8
60364.189641,r,16.005,0.078,positive,,
60363.231551,r,15.840,0.050,positive,,
60363.189155,g,16.622,0.052,positive,785.1,17.1
60357.231308,g,19.009,,limit,,
60357.213183,r,15.777,0.029,positive,1760.8,9.8
60354.230613,g,16.521,0.064,positive,,
60354.192662,r,15.749,0.028,positive,1840.2,9.4
60352.240694,r,15.750,0.021,positive,1779.2,10.2
60341.244734,g,16.327,0.035,positive,1039.8,8.3
60341.179931,r,15.663,0.023,positive,,
60339.231528,r,15.669,0.023,positive,1930.7,10.4
60334.231389,r,15.641,0.025,positive,1986.9,12.9
60326.293241,g,16.152,0.031,positive,1227.7,8.4
60326.228831,r,15.617,0.033,positive,2045.5,9.9
60324.243171,r,15.620,0.026,positive,2040.6,11.7
60324.220984,g,16.128,0.034,positive,1271.8,8.3
60321.289271,g,16.135,0.043,positive,1195.2,14.4
60314.276644,g,15.994,0.030,positive,1377.2,9.6
60308.380521,r,15.398,0.029,positive,,
60308.323218,g,18.890,,limit,,
60295.327569,r,15.529,0.025,positive,2102.4,16.8
60290.435046,g,15.545,0.049,positive,,
60290.376898,r,15.580,0.026,positive,2166.1,13.1
60289.313125,r,15.662,0.034,positive,1981.8,11.8
60288.397928,r,15.801,0.021,positive,1717.9,9.3
60288.345961,g,15.652,0.029,positive,,
60287.376875,g,15.750,0.032,positive,1692.4,10.8
60287.314271,r,16.042,0.024,positive,1321.2,9.5
60262.460729,r,20.157,,limit,,
60260.427708,r,20.030,,limit,2.4,5.2
60258.419294,r,19.824,,limit,2.3,6.1
60258.397187,g,19.666,,limit,2.0,7.3
